row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,31/12/2019 VND,01/01/2019 Đã điều chỉnh VND,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__01/01/2019 Đã điều chỉnh VND
230,230,230,III. Bất động sản đầu tư,15,42.964.183.625,-,,15.0,42964183625.0,
231,231,231,- Nguyên giá,,50.952.499.193,-,,,50952499193.0,
232,232,232,- Giá trị hao mòn lũy kế,,(7.988.315.568),-,,,-7988315568.0,
240,240,240,IV. Tài sản dở dang dài hạn,,211.626.024.387,208.478.150.079,,,211626024387.0,208478150079.0
242,242,242,1. Chi phí xây dựng cơ bản dở dang,12,211.626.024.387,208.478.150.079,,12.0,211626024387.0,208478150079.0
250,250,250,V. Đầu tư tài chính dài hạn,04,214.571.025.240,237.195.367.746,,4.0,214571025240.0,237195367746.0
252,252,252,"1. Đầu tư vào công ty liên doanh, liên kết",,129.083.888.950,119.723.641.592,,,129083888950.0,119723641592.0
253,253,253,2. Đầu tư góp vốn vào đơn vị khác,,121.046.900.000,152.538.100.000,,,121046900000.0,152538100000.0
254,254,254,3. Dự phòng đầu tư tài chính dài hạn,,(35.559.763.710),(35.066.373.846),,,-35559763710.0,-35066373846.0
260,260,260,VI. Tài sản dài hạn khác,,442.274.174.937,534.482.063.967,,,442274174937.0,534482063967.0
261,261,261,1. Chi phí trả trước dài hạn,16,365.189.022.837,424.005.893.036,,16.0,365189022837.0,424005893036.0
262,262,262,2. Tài sản thuế thu nhập hoãn lại,38,215.792.339,86.595.982,,38.0,215792339.0,86595982.0
269,269,269,3. Lợi thế thương mại,17,76.869.359.761,110.389.574.949,,17.0,76869359761.0,110389574949.0
270,270,270,TỔNG CỘNG TÀI SẢN,,4.263.863.737.590,4.711.784.113.568,,,4263863737590.0,4711784113568.0
