row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2019 VND,Năm 2018 Đã điều chỉnh VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2019 VND,numeric__Năm 2018 Đã điều chỉnh VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,27,1.209.742.281.696,1.244.009.946.993,,27.0,1209742281696.0,1244009946993.0
02,02,02,2. Các khoản giảm trừ doanh thu,28,816.704.801,1.279.739.233,,28.0,816704801.0,1279739233.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,1.208.925.576.895,1.242.730.207.760,,,1208925576895.0,1242730207760.0
11,11,11,4. Giá vốn hàng bán,29,691.377.231.252,721.977.145.477,,29.0,691377231252.0,721977145477.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,517.548.345.643,520.753.062.283,,,517548345643.0,520753062283.0
21,21,21,6. Doanh thu hoạt động tài chính,30,61.429.578.482,104.248.991.927,,30.0,61429578482.0,104248991927.0
22,22,22,7. Chi phí tài chính,31,77.944.914.093,92.864.122.448,,31.0,77944914093.0,92864122448.0
23,23,23,Trong đó: Chi phí lãi vay,,77.594.719.707,86.529.489.951,,,77594719707.0,86529489951.0
24,24,24,"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,9.360.247.358,5.776.696.380,,,9360247358.0,5776696380.0
25,25,25,9. Chi phí bán hàng,33,176.827.252.551,148.611.455.277,,33.0,176827252551.0,148611455277.0
26,26,26,10. Chi phí quản lý doanh nghiệp,34,194.302.418.821,289.344.819.615,,34.0,194302418821.0,289344819615.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,139.263.586.018,99.958.353.250,,,139263586018.0,99958353250.0
31,31,31,12. Thu nhập khác,35,1.264.391.354,4.172.829.395,,35.0,1264391354.0,4172829395.0
32,32,32,13. Chi phí khác,36,15.745.098.675,17.211.147.604,,36.0,15745098675.0,17211147604.0
40,40,40,14. Lợi nhuận khác,,(14.480.707.321),(13.038.318.209),,,-14480707321.0,-13038318209.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,124.782.878.697,86.920.035.040,,,124782878697.0,86920035040.0
51,51,51,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,37,42.264.799.336,40.505.647.573,,37.0,42264799336.0,40505647573.0
52,52,52,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,38,(153.446.736),141.536.135,,38.0,-153446736.0,141536135.0
60,60,60,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,82.671.526.097,46.272.851.332,,,82671526097.0,46272851332.0
61,61,61,19. Lợi nhuận sau thuế của Công ty mẹ,,74.624.965.938,24.676.908.332,,,74624965938.0,24676908332.0
62,62,62,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,,8.046.560.159,21.595.943.000,,,8046560159.0,21595943000.0
70,70,70,21. Lãi cơ bản trên cổ phiếu,39,249,82,,39.0,249.0,82.0
