row_label_raw,row_label_full,Khoản mục biển động trong năm,Giá trị triệu đồng,numeric__Giá trị triệu đồng
Tăng thu nhập lãi thuần,Tăng thu nhập lãi thuần,Tăng thu nhập lãi thuần,2.351.875,2351875.0
Tăng lãi thuần từ hoạt động dịch vụ,Tăng lãi thuần từ hoạt động dịch vụ,Tăng lãi thuần từ hoạt động dịch vụ,463.891,463891.0
Tăng lãi thuần từ hoạt động kinh doanh ngoại hối,Tăng lãi thuần từ hoạt động kinh doanh ngoại hối,Tăng lãi thuần từ hoạt động kinh doanh ngoại hối,786.290,786290.0
"Tăng lãi thuần từ mua bàn chứng khoán kinh doanh, chứng khoán đầu tư và đầu tư dài hạn","Tăng lãi thuần từ mua bàn chứng khoán kinh doanh, chứng khoán đầu tư và đầu tư dài hạn","Tăng lãi thuần từ mua bàn chứng khoán kinh doanh, chứng khoán đầu tư và đầu tư dài hạn",3.568.991,3568991.0
Tăng thu nhập thuần từ hoạt động khác,Tăng thu nhập thuần từ hoạt động khác,Tăng thu nhập thuần từ hoạt động khác,525.332,525332.0
"Tăng thu nhập từ góp vốn, mua cổ phần","Tăng thu nhập từ góp vốn, mua cổ phần","Tăng thu nhập từ góp vốn, mua cổ phần",525.254,525254.0
Tăng chi phí hoạt động,Tăng chi phí hoạt động,Tăng chi phí hoạt động,(1.773.558),-1773558.0
Tăng chi phí dự phòng rủi ro tín dụng,Tăng chi phí dự phòng rủi ro tín dụng,Tăng chi phí dự phòng rủi ro tín dụng,(3.496.762),-3496762.0
Tăng chi phí thuế thu nhập doanh nghiệp,Tăng chi phí thuế thu nhập doanh nghiệp,Tăng chi phí thuế thu nhập doanh nghiệp,(586.492),-586492.0
,,,2.364.821,2364821.0
