row_label_raw,row_label_full,Các khoản thuế phải nộp Nhà nước (Thuyết minh 25),31/12/2024triệu đồng > 3.216.850,31/12/2023triệu đồng > 3.285.272,numeric__31/12/2024triệu đồng > 3.216.850,numeric__31/12/2023triệu đồng > 3.285.272
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,552.701,850.314,552701.0,850314.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,466.007,383.263,466007.0,383263.0
"Phải trả liên quan đến dịch vụ liên kết cho các giao dịch chuyển khoản, thanh toán","Phải trả liên quan đến dịch vụ liên kết cho các giao dịch chuyển khoản, thanh toán","Phải trả liên quan đến dịch vụ liên kết cho các giao dịch chuyển khoản, thanh toán",316.900,454.278,316900.0,454278.0
Phải trả về dịch vụ thanh toán,Phải trả về dịch vụ thanh toán,Phải trả về dịch vụ thanh toán,7.268.673,12.619.012,7268673.0,12619012.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,329.306,261.163,329306.0,261163.0
,,,12.150.437,17.853.302,12150437.0,17853302.0
