row_label_raw,row_label_full,col_0,Miền Bắc,Miền Trung,Miền Nam,Nước ngoài,Loại trừ,Tổng cộng,numeric__Miền Bắc,numeric__Miền Trung,numeric__Miền Nam,numeric__Nước ngoài,numeric__Loại trừ,numeric__Tổng cộng
Doanh thu,Doanh thu,Doanh thu,131.143.197,6.036.328,32.864.214,218.306,(85.969.428),84.292.617,131143197.0,6036328.0,32864214.0,218306.0,-85969428.0,84292617.0
1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,100.711.770,5.172.837,28.842.601,177.265,(73.307.019),61.597.454,100711770.0,5172837.0,28842601.0,177265.0,-73307019.0,61597454.0
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,4.163.147,191.826,1.093.084,5.890,427.355,5.881.302,4163147.0,191826.0,1093084.0,5890.0,427355.0,5881302.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,26.268.280,671.665,2.928.529,35.151,(13.089.764),16.813.861,26268280.0,671665.0,2928529.0,35151.0,-13089764.0,16813861.0
Chi phí,Chi phí,Chi phí,(102.820.654),(3.879.291),(20.845.471),(165.874),77.549.438,(50.161.852),-102820654.0,-3879291.0,-20845471.0,-165874.0,77549438.0,-50161852.0
1. Chi phí lãi và các chi phí tương tự,1. Chi phí lãi và các chi phí tương tự,1. Chi phí lãi và các chi phí tương tự,(79.942.729),(3.073.264),(17.098.449),(138.647),72.958.070,(27.295.019),-79942729.0,-3073264.0,-17098449.0,-138647.0,72958070.0,-27295019.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(1.152.456),(25.197),(67.012),(1.517),-,(1.246.182),-1152456.0,-25197.0,-67012.0,-1517.0,,-1246182.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(21.725.469),(780.830),(3.680.010),(25.710),4.591.368,(21.620.651),-21725469.0,-780830.0,-3680010.0,-25710.0,4591368.0,-21620651.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,28.322.543,2.157.037,12.018.743,52.432,(8.419.990),34.130.765,28322543.0,2157037.0,12018743.0,52432.0,-8419990.0,34130765.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(6.367.909),(695.981),(7.815.982),(31.567),8.419.990,(6.491.449),-6367909.0,-695981.0,-7815982.0,-31567.0,8419990.0,-6491449.0
Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),21.954.634,1.461.056,4.202.761,20.865,-,27.639.316,21954634.0,1461056.0,4202761.0,20865.0,,27639316.0
