row_label_raw,row_label_full,col_0,Tổng nợ cho vay khách hàng triệu đồng,"Tổng tiền gửi, cho vay tại NHNN và các TCTD khác triệu đồng",Cam kết ngoại bằng triệu đồng,Công cụ tài chính phải sinh triệu đồng,Kinh doanh và đầu tư chứng khoán triệu đồng,numeric__Tổng nợ cho vay khách hàng triệu đồng,"numeric__Tổng tiền gửi, cho vay tại NHNN và các TCTD khác triệu đồng",numeric__Cam kết ngoại bằng triệu đồng,numeric__Công cụ tài chính phải sinh triệu đồng,numeric__Kinh doanh và đầu tư chứng khoán triệu đồng
Trong nước,Trong nước,Trong nước,577.075.714,110.440.621,227.010.304,141.294,185.830.354,577075714.0,110440621.0,227010304.0,141294.0,185830354.0
Nước ngoài,Nước ngoài,Nước ngoài,787.232,613.482,-,-,66.000,787232.0,613482.0,,,66000.0
,,,577.862.946,111.054.103,227.010.304,141.294,185.896.354,577862946.0,111054103.0,227010304.0,141294.0,185896354.0
