row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thăng dư vốn cổ phần triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ khác triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thăng dư vốn cổ phần triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ khác triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Tổng cộng triệu đồng
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,45.339.861,869.327,2.779.726,5.544.652,645.974,17.420.687,72.600.227,45339861.0,869327.0,2779726.0,5544652.0,645974.0,17420687.0,72600227.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,19.830.543,19.830.543,,,,,,19830543.0,19830543.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,815.504,1.631.009,410.122,(2.856.635),-,,,815504.0,1631009.0,410122.0,-2856635.0,
Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,-,-,-,-,-,(1.304.807),(1.304.807),,,,,,-1304807.0,-1304807.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(247.170),-,(247.170),,,,,-247170.0,,-247170.0
Chia cổ tức trong năm bằng cổ phiếu,Chia cổ tức trong năm bằng cổ phiếu,Chia cổ tức trong năm bằng cổ phiếu,6.800.980,-,-,-,-,(6.800.980),-,6800980.0,,,,,-6800980.0,
Chia cổ tức trong năm bằng tiền,Chia cổ tức trong năm bằng tiền,Chia cổ tức trong năm bằng tiền,-,-,-,-,-,(2.266.993),(2.266.993),,,,,,-2266993.0,-2266993.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,(4.051),(4.051),,,,,,-4051.0,-4051.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,(1.138),(9.212),(10.350),,,,,-1138.0,-9212.0,-10350.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,52.140.841,869.327,3.595.230,7.175.661,807.788,24.008.552,88.597.399,52140841.0,869327.0,3595230.0,7175661.0,807788.0,24008552.0,88597399.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,22.195.364,22.195.364,,,,,,22195364.0,22195364.0
Tăng vốn từ phát hành cổ phiếu trong năm,Tăng vốn từ phát hành cổ phiếu trong năm,Tăng vốn từ phát hành cổ phiếu trong năm,922.400,435.007,-,-,-,-,1.357.407,922400.0,435007.0,,,,,1357407.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,991.527,1.983.054,498.558,(3.473.139),-,,,991527.0,1983054.0,498558.0,-3473139.0,
Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,-,-,-,-,-,(1.586.443),(1.586.443),,,,,,-1586443.0,-1586443.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(348.289),-,(348.289),,,,,-348289.0,,-348289.0
Chia cổ tức trong năm bằng tiền,Chia cổ tức trong năm bằng tiền,Chia cổ tức trong năm bằng tiền,-,-,-,-,-,(2.643.542),(2.643.542),,,,,,-2643542.0,-2643542.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,-,(19.323),(19.323),,,,,,-19323.0,-19323.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,(84),(727),(811),,,,,-84.0,-727.0,-811.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,53.063.241,1.304.334,4.586.757,9.158.715,957.973,38.480.742,107.551.762,53063241.0,1304334.0,4586757.0,9158715.0,957973.0,38480742.0,107551762.0
