row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng","Máy móc, thiết bịtriệu đồng",Phương tiệnvận tải và Thiết bịtruyền đãntriệu đồng,TSCĐ kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng","numeric__Máy móc, thiết bịtriệu đồng",numeric__Phương tiệnvận tải và Thiết bịtruyền đãntriệu đồng,numeric__TSCĐ kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.507.415,2.671.527,1.203.238,551.375,6.933.555,2507415.0,2671527.0,1203238.0,551375.0,6933555.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,3.078,553.667,240.269,408.927,1.205.941,3078.0,553667.0,240269.0,408927.0,1205941.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(700),(102.189),(56.604),(26.761),(186.254),-700.0,-102189.0,-56604.0,-26761.0,-186254.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(48),(22),(5),(75),,-48.0,-22.0,-5.0,-75.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.509.793,3.122.957,1.386.881,933.536,7.953.167,2509793.0,3122957.0,1386881.0,933536.0,7953167.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,602.293,2.082.672,1.003.028,376.932,4.064.925,602293.0,2082672.0,1003028.0,376932.0,4064925.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,93.171,420.927,108.298,120.232,742.628,93171.0,420927.0,108298.0,120232.0,742628.0
Thanh lý,Giá trị hao mòn luỹ kế > Thanh lý,Thanh lý,-,(102.187),(55.630),(26.736),(184.553),,-102187.0,-55630.0,-26736.0,-184553.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,-,26.296,20.162,19.580,66.038,,26296.0,20162.0,19580.0,66038.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(38),(14),(6),(58),,-38.0,-14.0,-6.0,-58.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,695.464,2.427.670,1.075.844,490.002,4.688.980,695464.0,2427670.0,1075844.0,490002.0,4688980.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.905.122,588.855,200.210,174.443,2.868.630,1905122.0,588855.0,200210.0,174443.0,2868630.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.814.329,695.287,311.037,443.534,3.264.187,1814329.0,695287.0,311037.0,443534.0,3264187.0
