row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2024 triệu đồng,31/12/2023 triệu đồng,numeric__Thuyết minh,numeric__31/12/2024 triệu đồng,numeric__31/12/2023 triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,3.266.448,3.637.930,5.0,3266448.0,3637930.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,27.998.988,65.268.295,6.0,27998988.0,65268295.0
Tiền gửi và cho vay các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,7,72.305.188,45.785.808,7.0,72305188.0,45785808.0
Tiền gửi tại các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,,69.423.256,43.816.386,,69423256.0,43816386.0
Cho vay các tổ chức tín dụng khác,TÀI SẢN > Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,,2.881.932,1.969.422,,2881932.0,1969422.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,6.560.835,43.200.913,8.0,6560835.0,43200913.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,6.560.835,43.200.913,,6560835.0,43200913.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,-,141.294,9.0,,141294.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,724.673.270,568.479.542,,724673270.0,568479542.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,734.594.094,577.862.946,10.0,734594094.0,577862946.0
