row_label_raw,row_label_full,1. Thù lao Hội đồng Quản trịÔng Lưu Trung Thái > Ông Lê Hữu Đức,Chức danhChủ tịch(bố nhiệm từ ngày 12 tháng 4 năm 2023) > Chủ tịch(miễn nhiệm từ ngày 12 tháng 4 năm 2023),31/12/2024triệu đồng > 13.618 > 3.258 > -,31/12/2023triệu đồng > 15.153 > 1.989 > 958,numeric__Chức danhChủ tịch(bố nhiệm từ ngày 12 tháng 4 năm 2023) > Chủ tịch(miễn nhiệm từ ngày 12 tháng 4 năm 2023),numeric__31/12/2024triệu đồng > 13.618 > 3.258 > -,numeric__31/12/2023triệu đồng > 15.153 > 1.989 > 958
Bà Vũ Thị Hải Phượng,Bà Vũ Thị Hải Phượng,Bà Vũ Thị Hải Phượng,Phó Chủ tịch HĐQTThành viên HĐQT,2.575,2.576,,2575.0,2576.0
Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,(miễn nhiệm từ ngày 15 tháng 6 năm 2024),1.301,2.409,,1301.0,2409.0
Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Thành viên HĐQT(miễn nhiệm ngày 15 tháng 6 năm 2024),1.301,2.409,,1301.0,2409.0
Ông Lê Việt Hải,Ông Lê Việt Hải,Ông Lê Việt Hải,Thành viên HĐQTThành viên HĐQT độc lập,2.089,2.018,,2089.0,2018.0
Ông Hoàng Văn Sâm,Ông Hoàng Văn Sâm,Ông Hoàng Văn Sâm,(bố nhiệm từ ngày 15 tháng 6 năm 2024),152,-,,152.0,
Ông Trần Trung Tín,Ông Trần Trung Tín,Ông Trần Trung Tín,Thành viên HĐQT độc lập(đến ngày 15 tháng 6 năm 2024),326,586,,326.0,586.0
Thù lao trả cho thành viên Hội đồng Quản trị thông qua doanhnghiệp cử người đại diện (5 người),Thù lao trả cho thành viên Hội đồng Quản trị thông qua doanhnghiệp cử người đại diện (5 người),Thù lao trả cho thành viên Hội đồng Quản trị thông qua doanhnghiệp cử người đại diện (5 người),,2.616,2.208,,2616.0,2208.0
2. Ban Kiểm soát,2. Ban Kiểm soát,2. Ban Kiểm soát,,7.040,6.340,,7040.0,6340.0
3. Tiền lương của Tổng Giám đốcvà các Phó Tổng Giám đốc,3. Tiền lương của Tổng Giám đốcvà các Phó Tổng Giám đốc,3. Tiền lương của Tổng Giám đốcvà các Phó Tổng Giám đốc,,29.015,25.358,,29015.0,25358.0
Ông Lưu Trung Thái,Ông Lưu Trung Thái,Ông Lưu Trung Thái,Tổng giám đốc(miễn nhiệm từ ngày 12 tháng 4 năm 2023),-,1.253,,,1253.0
Ông Phạm Như Ánh,Ông Phạm Như Ánh,Ông Phạm Như Ánh,Tổng giám đốc(bố nhiệm từ ngày 18 tháng 5 năm 2023),3.248,2.688,,3248.0,2688.0
Bà Nguyễn Minh Châu,Bà Nguyễn Minh Châu,Bà Nguyễn Minh Châu,Phó Tổng giám đốc,3.044,2.834,,3044.0,2834.0
Ông Trần Minh Đạt,Ông Trần Minh Đạt,Ông Trần Minh Đạt,Phó Tổng giám đốc,2.618,2.364,,2618.0,2364.0
Bà Phạm Thị Trung Hà,Bà Phạm Thị Trung Hà,Bà Phạm Thị Trung Hà,Phó Tổng giám đốc,2.941,2.761,,2941.0,2761.0
Ông Hà Trọng Khiêm,Ông Hà Trọng Khiêm,Ông Hà Trọng Khiêm,Phó Tổng giám đốc,2.440,2.258,,2440.0,2258.0
Ông Lê Quốc Minh,Ông Lê Quốc Minh,Ông Lê Quốc Minh,Phó Tổng giám đốc,2.416,2.233,,2416.0,2233.0
Ông Nguyễn Xuân Học,Ông Nguyễn Xuân Học,Ông Nguyễn Xuân Học,Phó Tổng Giám đốc(Bố nhiệm ngày 2 tháng 7 năm 2024),1.851,1.713,,1851.0,1713.0
Ông Vũ Thành Trung,Ông Vũ Thành Trung,Ông Vũ Thành Trung,Thành viên Ban điều hành(Thời giữ chức vụ từ ngày 10 tháng 12 năm 2024),1.817,1.697,,1817.0,1697.0
Ông Vũ Hồng Phú,Ông Vũ Hồng Phú,Ông Vũ Hồng Phú,Thành viên ban điều hành,1.841,1.710,,1841.0,1710.0
Bà Trần Thị Bảo Quế,Bà Trần Thị Bảo Quế,Bà Trần Thị Bảo Quế,Thành viên ban điều hành,1.931,1.792,,1931.0,1792.0
Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Thành viên Ban điều hành(Bố nhiệm ngày 15 tháng 6 năm 2024),1.355,-,,1355.0,
Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Thành viên Ban điều hành(Bố nhiệm ngày 15 tháng 6 năm 2024),1.339,-,,1339.0,
Ông Lê Xuân Vũ,Ông Lê Xuân Vũ,Ông Lê Xuân Vũ,Thành viên Ban điều hành(Thời giữ chức vụ từ ngày 10 tháng 12 năm 2024),2.174,2.055,,2174.0,2055.0
