row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.136.125,1.936.345,3.072.470,1136125.0,1936345.0,3072470.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,660.860,660.860,,660860.0,660860.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(4.586),(4.586),,-4586.0,-4586.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(18),(18),,-18.0,-18.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.136.125,2.592.601,3.728.726,1136125.0,2592601.0,3728726.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,238.703,1.702.100,1.940.803,238703.0,1702100.0,1940803.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,20.677,482.877,503.554,20677.0,482877.0,503554.0
Thanh lý trong năm,Giá trị hao mòn luỹ kế > Thanh lý trong năm,Thanh lý trong năm,-,(4.586),(4.586),,-4586.0,-4586.0
Biến động khác,Giá trị hao mòn luỹ kế > Biến động khác,Biến động khác,-,6.385,6.385,,6385.0,6385.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(4),(4),,-4.0,-4.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,259.380,2.186.772,2.446.152,259380.0,2186772.0,2446152.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,897.422,234.245,1.131.667,897422.0,234245.0,1131667.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,876.745,405.829,1.282.574,876745.0,405829.0,1282574.0
