row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy ví tính triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy ví tính triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.084.972,1.545.950,2.630.922,1084972.0,1545950.0,2630922.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,51.153,395.625,446.778,51153.0,395625.0,446778.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(5.230),(5.230),,-5230.0,-5230.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.136.125,1.936.345,3.072.470,1136125.0,1936345.0,3072470.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,218.797,1.365.779,1.584.576,218797.0,1365779.0,1584576.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,19.906,329.440,349.346,19906.0,329440.0,349346.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,-,6.881,6.881,,6881.0,6881.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,238.703,1.702.100,1.940.803,238703.0,1702100.0,1940803.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,866.175,180.171,1.046.346,866175.0,180171.0,1046346.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,897.422,234.245,1.131.667,897422.0,234245.0,1131667.0
