row_label_raw,row_label_full,col_0,31/12/2024triệu đồngPhải thu/(Phải trả),31/12/2023triệu đồngPhải thu/(Phải trả),numeric__31/12/2024triệu đồngPhải thu/(Phải trả),numeric__31/12/2023triệu đồngPhải thu/(Phải trả)
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
"Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")- Tiền gửi của MB Cap tại Ngân hàng","Các công ty con > Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")- Tiền gửi của MB Cap tại Ngân hàng","Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")- Tiền gửi của MB Cap tại Ngân hàng",(266.390),(88.733),-266390.0,-88733.0
"Công ty Cổ phần Chứng khoán MB (""MBS"")- Tiền gửi hạn của MBS tại Ngân hàng","Các công ty con > Công ty Cổ phần Chứng khoán MB (""MBS"")- Tiền gửi hạn của MBS tại Ngân hàng","Công ty Cổ phần Chứng khoán MB (""MBS"")- Tiền gửi hạn của MBS tại Ngân hàng",(2.393.801),(1.366.641),-2393801.0,-1366641.0
"Công ty Quản lý Nợ và Khai thác tài sản Ngân hàngThương mại Cổ phần Quản đội (""MB AMC"")- Tiền gửi của MB AMC tại Ngân hàng","Các công ty con > Công ty Quản lý Nợ và Khai thác tài sản Ngân hàngThương mại Cổ phần Quản đội (""MB AMC"")- Tiền gửi của MB AMC tại Ngân hàng","Công ty Quản lý Nợ và Khai thác tài sản Ngân hàngThương mại Cổ phần Quản đội (""MB AMC"")- Tiền gửi của MB AMC tại Ngân hàng",(367.252),(257.821),-367252.0,-257821.0
"Công ty Tài chính Tín dụng Tiêu dùng Tráchnhiệm hữu hạn MB Shinsei (""Mcredit"")- Tiền gửi và cho vay Mcredit- Tiền gửi của Mcredit tại Ngân hàng","Công ty Tài chính Tín dụng Tiêu dùng Tráchnhiệm hữu hạn MB Shinsei (""Mcredit"")- Tiền gửi và cho vay Mcredit- Tiền gửi của Mcredit tại Ngân hàng","Công ty Tài chính Tín dụng Tiêu dùng Tráchnhiệm hữu hạn MB Shinsei (""Mcredit"")- Tiền gửi và cho vay Mcredit- Tiền gửi của Mcredit tại Ngân hàng",8.325.000(1.190.771),4.490.000(1.830.324),,
"Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"")- Tiền gửi của MIC tại Ngân hàng","Công ty Tài chính Tín dụng Tiêu dùng Tráchnhiệm hữu hạn MB Shinsei (""Mcredit"")- Tiền gửi và cho vay Mcredit- Tiền gửi của Mcredit tại Ngân hàng > Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"")- Tiền gửi của MIC tại Ngân hàng","Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"")- Tiền gửi của MIC tại Ngân hàng",(729.734),(971.939),-729734.0,-971939.0
"Công ty TNHH Bảo hiểm Nhân thọ MB Ageas(""MBAL"")- Tiền gửi của MBAL tại Ngân hàng","Công ty Tài chính Tín dụng Tiêu dùng Tráchnhiệm hữu hạn MB Shinsei (""Mcredit"")- Tiền gửi và cho vay Mcredit- Tiền gửi của Mcredit tại Ngân hàng > Công ty TNHH Bảo hiểm Nhân thọ MB Ageas(""MBAL"")- Tiền gửi của MBAL tại Ngân hàng","Công ty TNHH Bảo hiểm Nhân thọ MB Ageas(""MBAL"")- Tiền gửi của MBAL tại Ngân hàng",(2.389.052),(1.770.828),-2389052.0,-1770828.0
"Ngân hàng Đại chúng TNHH MB Campuchia(""MB Cambodia"")- Tiền gửi tại MB Cambodia- Tiền gửi của MB Cambodia tại Ngân hàng","Ngân hàng Đại chúng TNHH MB Campuchia(""MB Cambodia"")- Tiền gửi tại MB Cambodia- Tiền gửi của MB Cambodia tại Ngân hàng","Ngân hàng Đại chúng TNHH MB Campuchia(""MB Cambodia"")- Tiền gửi tại MB Cambodia- Tiền gửi của MB Cambodia tại Ngân hàng",1.909.376(2.148),1.144.600(35.113),,
Ngân hàng TNHH MTV Việt Nam Hiện Đại- Các khoản phải thu về bán nợ,"Ngân hàng Đại chúng TNHH MB Campuchia(""MB Cambodia"")- Tiền gửi tại MB Cambodia- Tiền gửi của MB Cambodia tại Ngân hàng > Ngân hàng TNHH MTV Việt Nam Hiện Đại- Các khoản phải thu về bán nợ",Ngân hàng TNHH MTV Việt Nam Hiện Đại- Các khoản phải thu về bán nợ,5.852.543,-,5852543.0,
Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,,
- Tiền gửi tại Ngân hàng,Cổ đông lớn > - Tiền gửi tại Ngân hàng,- Tiền gửi tại Ngân hàng,(40.239.944),(39.740.091),-40239944.0,-39740091.0
