row_label_raw,row_label_full,Ông Lưu Trung Thái,Chủ tịch,numeric__Chủ tịch
Bà Vũ Thị Hải Phương,Bà Vũ Thị Hải Phương,Bà Vũ Thị Hải Phương,Phó Chủ tịch,
Bà Nguyễn Thị Hải Lý,Bà Nguyễn Thị Hải Lý,Bà Nguyễn Thị Hải Lý,Phó Chủ tịch (Bổ nhiệm ngày 15/6/2024),
Ông Vũ Thành Trung,Ông Vũ Thành Trung,Ông Vũ Thành Trung,Phó Chủ tịch (Bổ nhiệm ngày 15/6/2024),
Ông Đỗ Minh Phương,Ông Đỗ Minh Phương,Ông Đỗ Minh Phương,Phó Chủ tịch (Miễn nhiệm ngày 15/6/2024),
Ông Phạm Như Ánh,Ông Phạm Như Ánh,Ông Phạm Như Ánh,Thành viên (Bổ nhiệm ngày 15/6/2024),
Ông Lê Viết Hải,Ông Lê Viết Hải,Ông Lê Viết Hải,Thành viên,
Bà Vũ Thái Huyền,Bà Vũ Thái Huyền,Bà Vũ Thái Huyền,Thành viên,
Ông Phạm Doãn Cương,Ông Phạm Doãn Cương,Ông Phạm Doãn Cương,Thành viên (Bổ nhiệm ngày 15/6/2024),
Bà Hoàng Thị Thu Hiền,Bà Hoàng Thị Thu Hiền,Bà Hoàng Thị Thu Hiền,Thành viên (Bổ nhiệm ngày 15/6/2024),
Ông Vũ Xuân Nam,Ông Vũ Xuân Nam,Ông Vũ Xuân Nam,Thành viên (Bổ nhiệm ngày 15/6/2024),
Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Thành viên (Miễn nhiệm ngày 15/6/2024),
Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Thành viên (Miễn nhiệm ngày 15/6/2024),
Ông Kiểu Đăng Hùng,Ông Kiểu Đăng Hùng,Ông Kiểu Đăng Hùng,Thành viên (Miễn nhiệm ngày 15/6/2024),
Ông Ngô Minh Thuấn,Ông Ngô Minh Thuấn,Ông Ngô Minh Thuấn,Thành viên (Miễn nhiệm ngày 15/6/2024),
Ông Hoàng Văn Sâm,Ông Hoàng Văn Sâm,Ông Hoàng Văn Sâm,Thành viên HĐQT độc lập(Bổ nhiệm ngày 15/6/2024),
Ông Trần Trung Tín,Ông Trần Trung Tín,Ông Trần Trung Tín,Thành viên HĐQT độc lập(Miễn nhiệm ngày 15/6/2024),
