row_label_raw,row_label_full,Bà Lê Thị Lợi,Trường Ban,numeric__Trường Ban
Bà Nguyễn Thị An Bình,Bà Nguyễn Thị An Bình,Bà Nguyễn Thị An Bình,Phó Trường Ban,
Bà Đỗ Thị Tuyết Mai,Bà Đỗ Thị Tuyết Mai,Bà Đỗ Thị Tuyết Mai,Thành viên,
Bà Nguyễn Thị Nguyệt Hà,Bà Nguyễn Thị Nguyệt Hà,Bà Nguyễn Thị Nguyệt Hà,Thành viên (Bổ nhiệm ngày 15/6/2024),
Ông Đỗ Văn Tiến,Ông Đỗ Văn Tiến,Ông Đỗ Văn Tiến,Thành viên (Bổ nhiệm ngày 15/6/2024),
Ông Đỗ Văn Hưng,Ông Đỗ Văn Hưng,Ông Đỗ Văn Hưng,Thành viên (Miễn nhiệm ngày 15/6/2024),
