row_label_raw,row_label_full,6. Chi phí tài chính,Năm 2025,Năm 2024,numeric__Năm 2025,numeric__Năm 2024
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,273.007.108.729,303.551.771.148,273007108729.0,303551771148.0
Lỗ từ hoạt động đầu tư,Lỗ từ hoạt động đầu tư,Lỗ từ hoạt động đầu tư,37.953.401,70.918.855,37953401.0,70918855.0
Chi phí lãi hợp tác kinh doanh,Chi phí lãi hợp tác kinh doanh,Chi phí lãi hợp tác kinh doanh,5.052.424.580,5.136.964.925,5052424580.0,5136964925.0
Dự phòng tổn thất đầu tư tài chính,Dự phòng tổn thất đầu tư tài chính,Dự phòng tổn thất đầu tư tài chính,54.697.003.731,841.333.216,54697003731.0,841333216.0
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,2.965.494.699,2.299.977.193,2965494699.0,2299977193.0
Cộng,Cộng,Cộng,335.759.985.140,311.900.965.337,335759985140.0,311900965337.0
