row_label_raw,row_label_full,18. Chi phí phải trả,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,366.712.715.867,374.076.609.960,366712715867.0,374076609960.0
Chi phí xây dựng,Chi phí xây dựng,Chi phí xây dựng,241.024.212.408,236.881.726.284,241024212408.0,236881726284.0
Chi phí bồi thường thuộc dự án Charmington Dragonic,Chi phí bồi thường thuộc dự án Charmington Dragonic,Chi phí bồi thường thuộc dự án Charmington Dragonic,38.282.833.530,38.282.833.530,38282833530.0,38282833530.0
Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,50.524.890.445,56.693.325.274,50524890445.0,56693325274.0
Chi phí phải trả khác,Chi phí phải trả khác,Chi phí phải trả khác,36.880.779.484,42.218.724.872,36880779484.0,42218724872.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,69.487.059.998,86.016.987.675,69487059998.0,86016987675.0
Chi phí thuê đất và chia lợi nhuận cố định (*),Chi phí thuê đất và chia lợi nhuận cố định (*),Chi phí thuê đất và chia lợi nhuận cố định (*),69.487.059.998,86.016.987.675,69487059998.0,86016987675.0
Cộng,Cộng,Cộng,436.199.775.865,460.093.597.635,436199775865.0,460093597635.0
