row_label_raw,row_label_full,8. Hàng tồn kho,31/12/2025,31/12/2025_1,01/01/2025,01/01/2025_1,numeric__31/12/2025,numeric__31/12/2025_1,numeric__01/01/2025,numeric__01/01/2025_1
8. Hàng tồn kho,8. Hàng tồn kho,8. Hàng tồn kho,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Nguyên liệu, vật liệu","8. Hàng tồn kho > Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",276.107.584,-,293.963.501,-,276107584.0,,293963501.0,
"Công cụ, dụng cụ","8. Hàng tồn kho > Công cụ, dụng cụ","Công cụ, dụng cụ",1.094.396,-,1.185.286.042,(980.414.648),1094396.0,,1185286042.0,-980414648.0
"Chi phí sản xuất, kinh doanh dở dang (i)","8. Hàng tồn kho > Chi phí sản xuất, kinh doanh dở dang (i)","Chi phí sản xuất, kinh doanh dở dang (i)",2.674.517.168.751,(6.571.109.430),2.260.541.555.237,-,2674517168751.0,-6571109430.0,2260541555237.0,
Hàng hóa bắt động sản (ii),8. Hàng tồn kho > Hàng hóa bắt động sản (ii),Hàng hóa bắt động sản (ii),824.869.017.204,-,1.076.165.963.014,-,824869017204.0,,1076165963014.0,
Cộng,8. Hàng tồn kho > Cộng,Cộng,3.499.663.387.935,(6.571.109.430),3.338.186.767.794,(980.414.648),3499663387935.0,-6571109430.0,3338186767794.0,-980414648.0
