row_label_raw,row_label_full,1. Tiền và các khoản tương đương tiền,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
Tiền,Tiền,Tiền,143.495.645.608,151.439.112.928,143495645608.0,151439112928.0
Tiền mặt,Tiền mặt,Tiền mặt,15.828.542,836.618.593,15828542.0,836618593.0
Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,143.479.817.066,150.602.494.335,143479817066.0,150602494335.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,216.469.227.493,23.603.522.221,216469227493.0,23603522221.0
Tiền gửi có kỳ hạn gốc không quá 3 tháng (*),Tiền gửi có kỳ hạn gốc không quá 3 tháng (*),Tiền gửi có kỳ hạn gốc không quá 3 tháng (*),216.469.227.493,23.603.522.221,216469227493.0,23603522221.0
Cộng,Cộng,Cộng,359.964.873.101,175.042.635.149,359964873101.0,175042635149.0
