row_label_raw,row_label_full,col_0,Hoạt động chính,Tình trạng,31/12/2025 > Tỷ lệ sở hữu (%),31/12/2025 > Tỷ lệ biểu quyết (%),31/12/2025 > Giá gốc (VND),31/12/2025 > Giá trị theo phương pháp vốn chủ sở hữu (VND),01/01/2025 > Tỷ lệ sở hữu (%),01/01/2025 > Tỷ lệ biểu quyết (%),01/01/2025 > Giá gốc (VND),01/01/2025 > Giá trị theo phương pháp vốn chủ sở hữu (VND),numeric__Hoạt động chính,numeric__Tình trạng,numeric__31/12/2025 > Tỷ lệ sở hữu (%),numeric__31/12/2025 > Tỷ lệ biểu quyết (%),numeric__31/12/2025 > Giá gốc (VND),numeric__31/12/2025 > Giá trị theo phương pháp vốn chủ sở hữu (VND),numeric__01/01/2025 > Tỷ lệ sở hữu (%),numeric__01/01/2025 > Tỷ lệ biểu quyết (%),numeric__01/01/2025 > Giá gốc (VND),numeric__01/01/2025 > Giá trị theo phương pháp vốn chủ sở hữu (VND)
c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,c.1. Đầu tư vào công ty liên kết,,,,,,,,,,
Công ty Cổ phần May Tiến Phát (i),c.1. Đầu tư vào công ty liên kết > Công ty Cổ phần May Tiến Phát (i),Công ty Cổ phần May Tiến Phát (i),Bắt động sản và dịch vụ thương mại,Đang hoạt động,-,-,-,-,"26,58","26,59",99.506.649.000,79.230.350.571,,,,,,,26.58,26.59,99506649000.0,79230350571.0
Cộng,c.1. Đầu tư vào công ty liên kết > Cộng,Cộng,,,,,-,-,,,99.506.649.000,79.230.350.571,,,,,,,,,99506649000.0,79230350571.0
c.2. Đầu tư vào đơn vị khác,c.2. Đầu tư vào đơn vị khác,c.2. Đầu tư vào đơn vị khác,,,,31/12/2025,31/12/2025,31/12/2025,,,01/01/2025,01/01/2025,,,,,,,,,,
,,,,,,Tỷ lệ sở hữu (%),Giá gốc (VND),Dự phòng (VND),,Tỷ lệ sở hữu (%),Giá gốc (VND),Dự phòng (VND),,,,,,,,,,
Công ty Cổ phần Toàn Hải Vân (ii),c.2. Đầu tư vào đơn vị khác > Công ty Cổ phần Toàn Hải Vân (ii),Công ty Cổ phần Toàn Hải Vân (ii),,Đang hoạt động,,"8,35",564.102.099.726,-,,"10,05",678.606.600.000,-,,,,8.35,564102099726.0,,,10.05,678606600000.0,
Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh (iii),c.2. Đầu tư vào đơn vị khác > Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh (iii),Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh (iii),,Đang hoạt động,,"7,74",225.601.346.000,-,,"7,06",209.092.600.000,-,,,,7.74,225601346000.0,,,7.06,209092600000.0,
Công ty Cổ phần May Tiến Phát (i),c.2. Đầu tư vào đơn vị khác > Công ty Cổ phần May Tiến Phát (i),Công ty Cổ phần May Tiến Phát (i),,Đang hoạt động,,"18,51",65.252.232.000,(54.697.003.731),,-,-,-,,,,18.51,65252232000.0,-54697003731.0,,,,
Công ty Cổ phần Thương mại và Xây dựng Phước Tân (iv),c.2. Đầu tư vào đơn vị khác > Công ty Cổ phần Thương mại và Xây dựng Phước Tân (iv),Công ty Cổ phần Thương mại và Xây dựng Phước Tân (iv),,Đang hoạt động,,"1,41",22.081.940.500,-,,"11,33",177.333.985.000,-,,,,1.41,22081940500.0,,,11.33,177333985000.0,
Công ty Cổ phần Nội thất 68,c.2. Đầu tư vào đơn vị khác > Công ty Cổ phần Nội thất 68,Công ty Cổ phần Nội thất 68,,Đang hoạt động,,"6,61",1.600.000.000,(1.600.000.000),,"6,61",1.600.000.000,(1.600.000.000),,,,6.61,1600000000.0,-1600000000.0,,6.61,1600000000.0,-1600000000.0
Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,c.2. Đầu tư vào đơn vị khác > Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,,Đang hoạt động,,"0,62",14.951.584,(14.951.584),,"0,62",14.951.584,(14.951.584),,,,0.62,14951584.0,-14951584.0,,0.62,14951584.0,-14951584.0
Cộng,c.2. Đầu tư vào đơn vị khác > Cộng,Cộng,,,,,878.652.569.810,(56.311.955.315),,,1.066.648.136.584,(1.614.951.584),,,,,878652569810.0,-56311955315.0,,,1066648136584.0,-1614951584.0
