row_label_raw,row_label_full,16. Người mua trả tiền trước,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,530.618.869.955,497.005.003.586,530618869955.0,497005003586.0
Người mua trả tiền trước là các bên liên quan (xem thuyết minh IX.3),Người mua trả tiền trước là các bên liên quan (xem thuyết minh IX.3),Người mua trả tiền trước là các bên liên quan (xem thuyết minh IX.3),112.612.368.352,74.732.893.634,112612368352.0,74732893634.0
Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín (1),Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín (1),Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín (1),127.300.000.000,57.000.000.000,127300000000.0,57000000000.0
Công ty Cổ phần Nội thất 68,Công ty Cổ phần Nội thất 68,Công ty Cổ phần Nội thất 68,-,142.720.245.715,,142720245715.0
Các khách hàng khác (2),Các khách hàng khác (2),Các khách hàng khác (2),290.706.501.603,222.551.864.237,290706501603.0,222551864237.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,145.096.748.450,145.096.748.450,145096748450.0,145096748450.0
"Công ty Cổ phần Toàn Hải Vân (bên liên quan, xem thuyết minh IX.3) (3)","Công ty Cổ phần Toàn Hải Vân (bên liên quan, xem thuyết minh IX.3) (3)","Công ty Cổ phần Toàn Hải Vân (bên liên quan, xem thuyết minh IX.3) (3)",145.096.748.450,145.096.748.450,145096748450.0,145096748450.0
Cộng,Cộng,Cộng,675.715.618.405,642.101.752.036,675715618405.0,642101752036.0
