row_label_raw,row_label_full,Bên cho vay,Thời hạn vay,Số dư (VND),Hình thức đảm bảo,numeric__Thời hạn vay,numeric__Số dư (VND),numeric__Hình thức đảm bảo
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Theo từng lần giải ngân,68.930.000.000,Tín chấp,,68930000000.0,
Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Từ 25/3/2025 đến 17/5/2026,20.000.000.000,Tín chấp,,20000000000.0,
Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đăng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đăng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đăng Huỳnh,Từ 26/12/2024 đến 20/3/2026,59.439.339.000,Tín chấp,,59439339000.0,
Công ty Cổ phần Đầu tư Hạ tầng Cụm Công nghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm Công nghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm Công nghiệp Tân Hội,12 tháng,10.560.000.000,Tín chấp,,10560000000.0,
Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Tự động tái tục,14.763.500.000,Tín chấp,,14763500000.0,
