row_label_raw,row_label_full,Khoản mục,Máy móc thiết bị,Phương tiện vận tải,Thiết bị dụng cụ quản lý,Tổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị dụng cụ quản lý,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,571.064.990,2.231.363.023,11.143.062.875,13.945.490.888,571064990.0,2231363023.0,11143062875.0,13945490888.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,861.481.481,-,48.400.000,909.881.481,861481481.0,,48400000.0,909881481.0
Chuyển từ thuê tài chính,Nguyên giá > Chuyển từ thuê tài chính,Chuyển từ thuê tài chính,-,2.536.092.728,-,2.536.092.728,,2536092728.0,,2536092728.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(68.121.818),(68.121.818),,,-68121818.0,-68121818.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.432.546.471,4.767.455.751,11.123.341.057,17.323.343.279,1432546471.0,4767455751.0,11123341057.0,17323343279.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,571.064.990,1.663.636.037,10.902.571.705,13.137.272.732,571064990.0,1663636037.0,10902571705.0,13137272732.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,41.599.683,542.421.493,101.275.445,685.296.621,41599683.0,542421493.0,101275445.0,685296621.0
Chuyển từ thuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ thuê tài chính,Chuyển từ thuê tài chính,-,1.026.513.720,-,1.026.513.720,,1026513720.0,,1026513720.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(68.121.818),(68.121.818),,,-68121818.0,-68121818.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,612.664.673,3.232.571.250,10.935.725.332,14.780.961.255,612664673.0,3232571250.0,10935725332.0,14780961255.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,567.726.986,240.491.170,808.218.156,,567726986.0,240491170.0,808218156.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,819.881.798,1.534.884.501,187.615.725,2.542.382.024,819881798.0,1534884501.0,187615725.0,2542382024.0
