row_label_raw,row_label_full,Phải thu khách hàng,Nội dung nghiệp vụ,31/12/2025,01/01/2025,numeric__Nội dung nghiệp vụ,numeric__31/12/2025,numeric__01/01/2025
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Cung cấp dịch vụ,8.118.824.476,32.857.616.285,,8118824476.0,32857616285.0
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Cung cấp dịch vụ,1.485.222.747,1.483.014.147,,1485222747.0,1483014147.0
Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Cung cấp dịch vụ,-,13.405.727.879,,,13405727879.0
Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Cung cấp dịch vụ,5.143.361.000,18.260.000.000,,5143361000.0,18260000000.0
Công ty Cổ phần Công nghiệp Phụ trợ S&D,Công ty Cổ phần Công nghiệp Phụ trợ S&D,Công ty Cổ phần Công nghiệp Phụ trợ S&D,Cung cấp dịch vụ,-,3.000.000.000,,,3000000000.0
Công ty Cổ phần Thương mại Thành Thành Công,Công ty Cổ phần Thương mại Thành Thành Công,Công ty Cổ phần Thương mại Thành Thành Công,Cung cấp dịch vụ,10.524.400,-,,10524400.0,
Công ty Cổ phần Đầu tư Hạ tầng Cụm Công Nghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm Công Nghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm Công Nghiệp Tân Hội,Cung cấp dịch vụ,15.835.415.893,-,,15835415893.0,
Công ty Cổ phần Đầu tư Tín Nghĩa - Á Châu,Công ty Cổ phần Đầu tư Tín Nghĩa - Á Châu,Công ty Cổ phần Đầu tư Tín Nghĩa - Á Châu,Cung cấp dịch vụ,2.621.720.337,-,,2621720337.0,
Công ty Cổ phần Đầu Tư Thành Thành Công,Công ty Cổ phần Đầu Tư Thành Thành Công,Công ty Cổ phần Đầu Tư Thành Thành Công,Cung cấp dịch vụ,-,3.834.000,,,3834000.0
Cộng,Cộng,Cộng,,33.215.068.853,69.010.192.311,,33215068853.0,69010192311.0
