row_label_raw,row_label_full,Phải trả người bán,Nội dung nghiệp vụ,31/12/2025,01/01/2025,numeric__Nội dung nghiệp vụ,numeric__31/12/2025,numeric__01/01/2025
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Mua nhà phố thương mại,(33.196.068.776),(42.965.511.992),,-33196068776.0,-42965511992.0
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Mua hàng và dịch vụ,(1.583.943.120),(26.305.201.867),,-1583943120.0,-26305201867.0
Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Mua dịch vụ,-,(495.564),,,-495564.0
Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Mua dịch vụ,(9.000.000),(416.655.000),,-9000000.0,-416655000.0
Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Mua dịch vụ,(19.800.000),-,,-19800000.0,
Ông Đặng Hồng Anh,Ông Đặng Hồng Anh,Ông Đặng Hồng Anh,Mua dịch vụ,-,(110.605.090),,,-110605090.0
Cộng,Cộng,Cộng,,(34.808.811.896),(69.798.469.513),,-34808811896.0,-69798469513.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Nội dung nghiệp vụ,31/12/2025,01/01/2025,,,
Công ty Cổ phần Toàn Hải Vân,Người mua trả tiền trước > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Bán hàng và dịch vụ,(54.732.893.634),(54.732.893.634),,-54732893634.0,-54732893634.0
Công ty Cổ phần Toàn Hải Vân,Người mua trả tiền trước > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Cung cấp dịch vụ,(145.096.748.450),(145.096.748.450),,-145096748450.0,-145096748450.0
Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Người mua trả tiền trước > Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Cung cấp dịch vụ,(926.269.100),-,,-926269100.0,
Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Người mua trả tiền trước > Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Cung cấp dịch vụ,(56.953.205.618),-,,-56953205618.0,
Công ty Cổ phần May Tiến Phát,Người mua trả tiền trước > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Bán hàng và dịch vụ,-,(20.000.000.000),,,-20000000000.0
Cộng,Người mua trả tiền trước > Cộng,Cộng,,(257.709.116.802),(219.829.642.084),,-257709116802.0,-219829642084.0
Phải trả khác,Phải trả khác,Phải trả khác,,31/12/2025,01/01/2025,,,
Công ty Cổ phần Toàn Hải Vân,Phải trả khác > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Được chi hộ,(61.805.981.800),(139.856.014.647),,-61805981800.0,-139856014647.0
Công ty Cổ phần Toàn Hải Vân,Phải trả khác > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Khác,-,(1.324.358.747),,,-1324358747.0
Công ty Cổ phần Khu công nghiệp Thành Thành Công,Phải trả khác > Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Lãi vay,-,(2.348.857.052),,,-2348857052.0
Công ty Cổ phần Khu công nghiệp Thành Thành Công,Phải trả khác > Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,"Nhận ký quỹ, ký cược",(5.937.491.499),-,,-5937491499.0,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả khác > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Lãi vay,(4.906.609.582),(30.619.301.932),,-4906609582.0,-30619301932.0
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả khác > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,"Nhận ký quỹ, ký cược",(34.427.090.143),(34.427.090.143),,-34427090143.0,-34427090143.0
Công ty Cổ phần Khai thác Và Quản lý Khu công nghiệp Đặng Huỳnh,Phải trả khác > Công ty Cổ phần Khai thác Và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác Và Quản lý Khu công nghiệp Đặng Huỳnh,Lãi vay,-,(4.580.694.302),,,-4580694302.0
Công ty Cổ phần Khai thác Và Quản lý Khu công nghiệp Đặng Huỳnh,Phải trả khác > Công ty Cổ phần Khai thác Và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác Và Quản lý Khu công nghiệp Đặng Huỳnh,"Nhận ký quỹ, ký cược",(5.000.000.000),(5.000.000.000),,-5000000000.0,-5000000000.0
Công ty Cổ phần Công nghiệp Phụ trợ S&D,Phải trả khác > Công ty Cổ phần Công nghiệp Phụ trợ S&D,Công ty Cổ phần Công nghiệp Phụ trợ S&D,"Nhận ký quỹ, ký cược",-,(4.921.579.000),,,-4921579000.0
Công ty Cổ phần Đầu tư Hạ tầng Cụm công nghiệp Tân Hội,Phải trả khác > Công ty Cổ phần Đầu tư Hạ tầng Cụm công nghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm công nghiệp Tân Hội,Lãi vay,-,(212.439.450),,,-212439450.0
Công ty Cổ phần May Tiến Phát,Phải trả khác > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Khác,-,(838.184.620),,,-838184620.0
Cộng,Phải trả khác > Cộng,Cộng,,(112.077.173.024),(224.128.519.893),,-112077173024.0,-224128519893.0
