row_label_raw,row_label_full,13. Chi phí trả trước,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,2.039.305.612,12.290.668.571,2039305612.0,12290668571.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",1.559.282.980,891.929.219,1559282980.0,891929219.0
"Chi phí thuê đất, mặt bằng","Chi phí thuê đất, mặt bằng","Chi phí thuê đất, mặt bằng",-,11.213.598.000,,11213598000.0
Chi phí trả trước khác,Chi phí trả trước khác,Chi phí trả trước khác,480.022.632,185.141.352,480022632.0,185141352.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,541.045.028.787,274.934.932.955,541045028787.0,274934932955.0
"Chi phí môi giới, nhà mẫu","Chi phí môi giới, nhà mẫu","Chi phí môi giới, nhà mẫu",275.277.190.125,241.768.439.238,275277190125.0,241768439238.0
"Chi phí thuê đất, mặt bằng (i)","Chi phí thuê đất, mặt bằng (i)","Chi phí thuê đất, mặt bằng (i)",168.044.091.081,26.699.296.174,168044091081.0,26699296174.0
Chi phí thuê lại quyền sử dụng đất (ii),Chi phí thuê lại quyền sử dụng đất (ii),Chi phí thuê lại quyền sử dụng đất (ii),90.575.539.796,-,90575539796.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",4.000.253.554,4.291.162.606,4000253554.0,4291162606.0
Chi phí trả trước khác,Chi phí trả trước khác,Chi phí trả trước khác,3.147.954.231,2.176.034.937,3147954231.0,2176034937.0
Cộng,Cộng,Cộng,543.084.334.399,287.225.601.526,543084334399.0,287225601526.0
