row_label_raw,row_label_full,Khoản mục > Số dư đầu năm trước,Vốn góp của chủ sở hữu > 3.956.617.750.000,Thăng dư vốn cổ phần > 333.103.781.211,Quỹ đầu tư phát triển > 156.557.329.395,Quỹ khác thuộc vốn chủ sở hữu > 24.890.292.522,Lợi nhuận sau thuế chưa phân phối > 406.052.262.903,Lợi ích cổ đông không kiểm soát > 247.929.185.623,Cộng > 5.125.150.601.654,numeric__Vốn góp của chủ sở hữu > 3.956.617.750.000,numeric__Thăng dư vốn cổ phần > 333.103.781.211,numeric__Quỹ đầu tư phát triển > 156.557.329.395,numeric__Quỹ khác thuộc vốn chủ sở hữu > 24.890.292.522,numeric__Lợi nhuận sau thuế chưa phân phối > 406.052.262.903,numeric__Lợi ích cổ đông không kiểm soát > 247.929.185.623,numeric__Cộng > 5.125.150.601.654
Phát hành cổ phiếu đề hoán đối nợ,Phát hành cổ phiếu đề hoán đối nợ,Phát hành cổ phiếu đề hoán đối nợ,349.332.610.000,(470.000.000),-,-,-,-,348.862.610.000,349332610000.0,-470000000.0,,,,,348862610000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,2.936.733.122,1.311.149.146,4.247.882.268,,,,,2936733122.0,1311149146.0,4247882268.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(6.172.957.432),-,(6.172.957.432),,,,,-6172957432.0,,-6172957432.0
Chi hoạt động của HĐQT,Chi hoạt động của HĐQT,Chi hoạt động của HĐQT,-,-,-,-,(4.800.000.000),-,(4.800.000.000),,,,,-4800000000.0,,-4800000000.0
Thay đổi phần sở hữu của công ty mẹ trong tài sản thuần của công ty con,Thay đổi phần sở hữu của công ty mẹ trong tài sản thuần của công ty con,Thay đổi phần sở hữu của công ty mẹ trong tài sản thuần của công ty con,-,-,-,-,55.711.772,21.271.744,76.983.516,,,,,55711772.0,21271744.0,76983516.0
Cổ tức cho NCI,Cổ tức cho NCI,Cổ tức cho NCI,-,-,-,-,-,(2.169.441.620),(2.169.441.620),,,,,,-2169441620.0,-2169441620.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,4.305.950.360.000,332.633.781.211,156.557.329.395,24.890.292.522,398.071.750.365,247.092.164.893,5.465.195.678.386,4305950360000.0,332633781211.0,156557329395.0,24890292522.0,398071750365.0,247092164893.0,5465195678386.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,4.305.950.360.000,332.633.781.211,156.557.329.395,24.890.292.522,398.071.750.365,247.092.164.893,5.465.195.678.386,4305950360000.0,332633781211.0,156557329395.0,24890292522.0,398071750365.0,247092164893.0,5465195678386.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,76.330.105.485,(8.947.841.247),67.382.264.238,,,,,76330105485.0,-8947841247.0,67382264238.0
Chi hoạt động của HĐQT,Chi hoạt động của HĐQT,Chi hoạt động của HĐQT,-,-,-,-,(4.800.000.000),-,(4.800.000.000),,,,,-4800000000.0,,-4800000000.0
Cổ tức cho NCI,Cổ tức cho NCI,Cổ tức cho NCI,-,-,-,-,-,(1.080.278.500),(1.080.278.500),,,,,,-1080278500.0,-1080278500.0
Giảm do giải thể công ty Con,Giảm do giải thể công ty Con,Giảm do giải thể công ty Con,-,-,-,-,-,(169.375.767.744),(169.375.767.744),,,,,,-169375767744.0,-169375767744.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.305.950.360.000,332.633.781.211,156.557.329.395,24.890.292.522,469.601.855.850,67.688.277.402,5.357.321.896.380,4305950360000.0,332633781211.0,156557329395.0,24890292522.0,469601855850.0,67688277402.0,5357321896380.0
