row_label_raw,row_label_full,col_0,Giá trị,Số có khả năng trả nợ,Giá trị_1,Số có khả năng trả nợ_1,numeric__Giá trị,numeric__Số có khả năng trả nợ,numeric__Giá trị_1,numeric__Số có khả năng trả nợ_1
a. Vay ngắn hạn,a. Vay ngắn hạn,a. Vay ngắn hạn,798.213.315.150,798.213.315.150,1.263.859.413.965,1.263.859.413.965,798213315150.0,798213315150.0,1263859413965.0,1263859413965.0
Vay từ các cá nhân và tổ chức khác (1),Vay từ các cá nhân và tổ chức khác (1),Vay từ các cá nhân và tổ chức khác (1),367.420.139.436,367.420.139.436,565.342.126.842,565.342.126.842,367420139436.0,367420139436.0,565342126842.0,565342126842.0
Vay từ các bên liên quan (2),Vay từ các bên liên quan (2),Vay từ các bên liên quan (2),173.692.839.000,173.692.839.000,459.958.886.180,459.958.886.180,173692839000.0,173692839000.0,459958886180.0,459958886180.0
Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),257.100.336.714,257.100.336.714,238.558.400.943,238.558.400.943,257100336714.0,257100336714.0,238558400943.0,238558400943.0
b. Vay dài hạn đến hạn trả,b. Vay dài hạn đến hạn trả,b. Vay dài hạn đến hạn trả,487.264.996.140,487.264.996.140,345.888.623.760,345.888.623.760,487264996140.0,487264996140.0,345888623760.0,345888623760.0
Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),487.264.996.140,487.264.996.140,345.724.090.445,345.724.090.445,487264996140.0,487264996140.0,345724090445.0,345724090445.0
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,-,-,164.533.315,164.533.315,,,164533315.0,164533315.0
c. Vay dài hạn,c. Vay dài hạn,c. Vay dài hạn,2.900.369.680.797,2.900.369.680.797,2.066.129.238.381,2.066.129.238.381,2900369680797.0,2900369680797.0,2066129238381.0,2066129238381.0
Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),2.050.369.680.797,2.050.369.680.797,1.212.129.238.381,1.212.129.238.381,2050369680797.0,2050369680797.0,1212129238381.0,1212129238381.0
Vay từ cá nhân và tổ chức,Vay từ cá nhân và tổ chức,Vay từ cá nhân và tổ chức,-,-,4.000.000.000,4.000.000.000,,,4000000000.0,4000000000.0
Trái phiếu (4),Trái phiếu (4),Trái phiếu (4),850.000.000.000,850.000.000.000,850.000.000.000,850.000.000.000,850000000000.0,850000000000.0,850000000000.0,850000000000.0
Cộng,Cộng,Cộng,4.185.847.992.087,4.185.847.992.087,3.675.877.276.106,3.675.877.276.106,4185847992087.0,4185847992087.0,3675877276106.0,3675877276106.0
