row_label_raw,row_label_full,1. Doanh thu bán hàng và cung cấp dịch vụ,Năm 2025,Năm 2024,numeric__Năm 2025,numeric__Năm 2024
Doanh thu từ dịch vụ cho thuê,Doanh thu từ dịch vụ cho thuê,Doanh thu từ dịch vụ cho thuê,309.792.145.840,102.179.134.649,309792145840.0,102179134649.0
Doanh thu từ dịch vụ bất động sản,Doanh thu từ dịch vụ bất động sản,Doanh thu từ dịch vụ bất động sản,352.733.047.557,120.811.517.772,352733047557.0,120811517772.0
Doanh thu từ dịch vụ xây dựng,Doanh thu từ dịch vụ xây dựng,Doanh thu từ dịch vụ xây dựng,341.537.109.940,27.825.584.039,341537109940.0,27825584039.0
Doanh thu từ chuyển nhượng bất động sản,Doanh thu từ chuyển nhượng bất động sản,Doanh thu từ chuyển nhượng bất động sản,53.192.000.876,427.756.886.286,53192000876.0,427756886286.0
Doanh thu từ bán hàng hóa,Doanh thu từ bán hàng hóa,Doanh thu từ bán hàng hóa,155.834.218.500,104.086.335.492,155834218500.0,104086335492.0
Doanh thu từ dịch vụ khác,Doanh thu từ dịch vụ khác,Doanh thu từ dịch vụ khác,14.416.972.515,17.507.001.612,14416972515.0,17507001612.0
Cộng,Cộng,Cộng,1.227.505.495.228,800.166.459.850,1227505495228.0,800166459850.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,Năm 2025,Năm 2024,,
Hàng bán bị trả lại,2. Các khoản giảm trừ doanh thu > Hàng bán bị trả lại,Hàng bán bị trả lại,123.724.120,-,123724120.0,
Giảm giá hàng bán,2. Các khoản giảm trừ doanh thu > Giảm giá hàng bán,Giảm giá hàng bán,-,1.049.691.125,,1049691125.0
Cộng,2. Các khoản giảm trừ doanh thu > Cộng,Cộng,123.724.120,1.049.691.125,123724120.0,1049691125.0
