row_label_raw,row_label_full,"9. Chi phí sản xuất, kinh doanh dở dang dài hạn",31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
Dự án Charmington Dragonic,Dự án Charmington Dragonic,Dự án Charmington Dragonic,600.055.521.537,599.988.019.537,600055521537.0,599988019537.0
"Các công trình, dự án khác","Các công trình, dự án khác","Các công trình, dự án khác",13.014.541.491,12.349.047.694,13014541491.0,12349047694.0
Cộng,Cộng,Cộng,613.070.063.028,612.337.067.231,613070063028.0,612337067231.0
