row_label_raw,row_label_full,10. Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm 2025,Năm 2024,numeric__Năm 2025,numeric__Năm 2024
Công ty Cổ phần Địa ốc Sài Gòn Thương Tín,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín,16.118.125.805,15.548.466.308,16118125805.0,15548466308.0
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,1.427.162.827,260.140.605,1427162827.0,260140605.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,2.757.823.217,1.477.386.878,2757823217.0,1477386878.0
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,-,62.028.385,,62028385.0
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,3.708.091.520,4.011.372.413,3708091520.0,4011372413.0
Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,-,8.440.406,,8440406.0
Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty TNHH Thương Tín - CJ Cầu Tre,1.873.944.875,4.123.712.281,1873944875.0,4123712281.0
Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,15.464.514,178.014.473,15464514.0,178014473.0
Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,454.040.696,197.633.551,454040696.0,197633551.0
Cộng,Cộng,Cộng,26.354.653.454,25.867.195.300,26354653454.0,25867195300.0
