row_label_raw,row_label_full,Trả trước cho người bán,Trả trước cho người bán_1,31/12/2025,01/01/2025,numeric__Trả trước cho người bán_1,numeric__31/12/2025,numeric__01/01/2025
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Mua nhà phố,19.599.000.000,20.799.000.000,,19599000000.0,20799000000.0
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Nhận chuyển nhượng QSDD,145.481.128.568,145.481.128.568,,145481128568.0,145481128568.0
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Mua hàng và dịch vụ,432.825.056,2.974.941.281,,432825056.0,2974941281.0
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Nhận chuyển nhượng cổ phần,498.610.000.000,-,,498610000000.0,
Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Mua hàng và dịch vụ,-,1.911.437.500,,,1911437500.0
Cộng,Cộng,Cộng,,664.122.953.624,171.166.507.349,,664122953624.0,171166507349.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,31/12/2025,01/01/2025,,,
Công ty Cổ phần May Tiến Phát,Phải thu về cho vay > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Cho vay,780.950.138.698,1.073.399.038.030,,780950138698.0,1073399038030.0
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu về cho vay > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cho vay,10.000.000.000,8.580.000.000,,10000000000.0,8580000000.0
Cộng,Phải thu về cho vay > Cộng,Cộng,,790.950.138.698,1.081.979.038.030,,790950138698.0,1081979038030.0
Phải thu khác,Phải thu khác,Phải thu khác,Nội dung nghiệp vụ,31/12/2025,01/01/2025,,,
Công ty Cổ phần May Tiến Phát,Phải thu khác > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Thanh lý thuê mặt bằng,94.518.687.844,102.251.188.544,,94518687844.0,102251188544.0
Công ty Cổ phần May Tiến Phát,Phải thu khác > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Vốn góp hợp tác kinh doanh,289.000.000.000,-,,289000000000.0,
Công ty Cổ phần May Tiến Phát,Phải thu khác > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,"Lãi cho vay, lãi hợp tác kinh doanh",56.679.693.092,151.405.428.533,,56679693092.0,151405428533.0
Công ty Cổ phần Toàn Hải Vân,Phải thu khác > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Phải thu khác,933.500.700,-,,933500700.0,
Công ty Cổ phần Toàn Hải Vân,Phải thu khác > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Lãi hợp tác kinh doanh,12.169.078.049,694.707.060,,12169078049.0,694707060.0
Công ty Cổ phần Toàn Hải Vân,Phải thu khác > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Vốn góp hợp tác kinh doanh,1.497.468.342.809,1.320.000.000.005,,1497468342809.0,1320000000005.0
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu khác > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Lãi cho vay,21.917.808,2.992.632.303,,21917808.0,2992632303.0
Công ty Cổ phần Du lịch Thành Thành Công,Phải thu khác > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Lãi cho vay,20.136.986,,,20136986.0,
Công ty Cổ phần Đầu tư Tín Nghĩa - Á Châu,Phải thu khác > Công ty Cổ phần Đầu tư Tín Nghĩa - Á Châu,Công ty Cổ phần Đầu tư Tín Nghĩa - Á Châu,Lãi cho vay,61.397.275,,,61397275.0,
Công ty Cổ phần Đầu tư Tín Nghĩa - Á Châu,Phải thu khác > Công ty Cổ phần Đầu tư Tín Nghĩa - Á Châu,Công ty Cổ phần Đầu tư Tín Nghĩa - Á Châu,Đặt cọc nhận chuyển nhượng,20.000.000.000,,,20000000000.0,
Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đăng Huỳnh,Phải thu khác > Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đăng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đăng Huỳnh,"Ký quỹ, ký cược",-,1.868.933.000,,,1868933000.0
Công ty Cổ phần Xây dựng Thương mại và Xuất nhập khẩu Thái Tôn,Phải thu khác > Công ty Cổ phần Xây dựng Thương mại và Xuất nhập khẩu Thái Tôn,Công ty Cổ phần Xây dựng Thương mại và Xuất nhập khẩu Thái Tôn,"Ký quỹ, ký cược",135.216.114.119,154.723.527.011,,135216114119.0,154723527011.0
Công ty Cổ phần Khu công nghiệp Thành Thành Công,Phải thu khác > Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,"Ký quỹ, ký cược",256.253.750,-,,256253750.0,
Cộng,Phải thu khác > Cộng,Cộng,,2.106.345.122.432,1.733.936.416.456,,2106345122432.0,1733936416456.0
