row_label_raw,row_label_full,Khoản mục,Giá trị (VND),numeric__Giá trị (VND)
Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,143.694.480.800,143694480800.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,143.694.480.800,143694480800.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,96.500.049.465,96500049465.0
Phân bổ trong năm,Giá trị hao mòn lũy kế > Phân bổ trong năm,Phân bổ trong năm,13.484.123.239,13484123239.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,109.984.172.704,109984172704.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,47.194.431.335,47194431335.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,33.710.308.096,33710308096.0
