row_label_raw,row_label_full,4. Trả trước cho người bán,31/12/2025 > Giá trị,31/12/2025 > Dự phòng,01/01/2025 > Giá trị,01/01/2025 > Dự phòng,numeric__31/12/2025 > Giá trị,numeric__31/12/2025 > Dự phòng,numeric__01/01/2025 > Giá trị,numeric__01/01/2025 > Dự phòng
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,1.075.457.805.586,(2.500.000.000),550.359.936.010,-,1075457805586.0,-2500000000.0,550359936010.0,
Trả trước cho người bán là các bên liên quan (xem thuyết minh IX.3) (1),Trả trước cho người bán là các bên liên quan (xem thuyết minh IX.3) (1),Trả trước cho người bán là các bên liên quan (xem thuyết minh IX.3) (1),518.641.825.056,-,25.685.378.781,-,518641825056.0,,25685378781.0,
Công ty Cổ phần Nội thất 68 (2),Công ty Cổ phần Nội thất 68 (2),Công ty Cổ phần Nội thất 68 (2),152.227.000.000,-,410.888.181.800,-,152227000000.0,,410888181800.0,
Công ty TNHH Đầu tư Kinh doanh An Việt (3),Công ty TNHH Đầu tư Kinh doanh An Việt (3),Công ty TNHH Đầu tư Kinh doanh An Việt (3),358.085.000.000,-,-,-,358085000000.0,,,
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,46.503.980.530,(2.500.000.000),113.786.375.429,-,46503980530.0,-2500000000.0,113786375429.0,
b. Dài hạn,b. Dài hạn,b. Dài hạn,394.613.836.690,(500.000.000),397.367.546.202,-,394613836690.0,-500000000.0,397367546202.0,
"Công ty Cổ phần Toàn Hải Vân (bên liên quan, xem thuyết minh IX.3) (4)","Công ty Cổ phần Toàn Hải Vân (bên liên quan, xem thuyết minh IX.3) (4)","Công ty Cổ phần Toàn Hải Vân (bên liên quan, xem thuyết minh IX.3) (4)",145.481.128.568,-,145.481.128.568,-,145481128568.0,,145481128568.0,
Công ty TNHH Đầu tư Sabeco HP (5),Công ty TNHH Đầu tư Sabeco HP (5),Công ty TNHH Đầu tư Sabeco HP (5),227.355.785.711,-,227.355.785.711,-,227355785711.0,,227355785711.0,
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,21.776.922.411,(500.000.000),24.530.631.923,-,21776922411.0,-500000000.0,24530631923.0,
Cộng,Cộng,Cộng,1.470.071.642.276,(3.000.000.000),947.727.482.212,-,1470071642276.0,-3000000000.0,947727482212.0,
