row_label_raw,row_label_full,19. Doanh thu chưa thực hiện,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,120.900.553.488,104.241.269.512,120900553488.0,104241269512.0
Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,-,11.426.936.960,,11426936960.0
Tiền cho thuê nhận trước (i),Tiền cho thuê nhận trước (i),Tiền cho thuê nhận trước (i),120.900.553.488,92.814.332.552,120900553488.0,92814332552.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,989.897.336.225,61.856.443.900,989897336225.0,61856443900.0
Tiền cho thuê nhận trước (i),Tiền cho thuê nhận trước (i),Tiền cho thuê nhận trước (i),989.897.336.225,61.856.443.900,989897336225.0,61856443900.0
Cộng,Cộng,Cộng,1.110.797.889.713,166.097.713.412,1110797889713.0,166097713412.0
