row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2025,01/01/2025,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025,numeric__01/01/2025
C.,C.,C.,NỘ PHẢI TRẢ,300,,7.538.409.432.961,6.381.694.976.924,,300.0,,7538409432961.0,6381694976924.0
I.,I.,I.,Nợ ngắn hạn,310,,3.215.502.666.603,3.801.079.069.785,,310.0,,3215502666603.0,3801079069785.0
I.,I.,I.,Phải trả cho người bán ngắn hạn,311,V.15,260.698.915.005,453.247.694.274,,311.0,,260698915005.0,453247694274.0
I.,I.,I.,Người mua trả tiền trước ngắn hạn,312,V.16a,530.618.869.955,497.005.003.586,,312.0,,530618869955.0,497005003586.0
I.,I.,I.,Thuế và các khoản phải nộp Nhà nước,313,V.17a,28.295.229.961,31.141.393.332,,313.0,,28295229961.0,31141393332.0
I.,I.,I.,Phải trả người lao động,314,,3.924.060.454,3.923.096.340,,314.0,,3924060454.0,3923096340.0
I.,I.,I.,Chi phí phải trả ngắn hạn,315,V.18a,366.712.715.867,374.076.609.960,,315.0,,366712715867.0,374076609960.0
I.,I.,I.,Doanh thu chưa thực hiện ngắn hạn,318,V.19a,120.900.553.488,104.241.269.512,,318.0,,120900553488.0,104241269512.0
I.,I.,I.,Phải trả ngắn hạn khác,319,V.20a,575.959.210.465,684.109.627.335,,319.0,,575959210465.0,684109627335.0
I.,I.,I.,Vay và nợ thuê tài chính ngắn hạn,320,"V.21a,b",1.285.478.311.290,1.609.748.037.725,,320.0,,1285478311290.0,1609748037725.0
I.,I.,I.,"Quỹ khen thưởng, phúc lợi",322,,42.914.800.118,43.586.337.721,,322.0,,42914800118.0,43586337721.0
II.,II.,II.,Nợ dài hạn,330,,4.322.906.766.358,2.580.615.907.139,,330.0,,4322906766358.0,2580615907139.0
II.,II.,II.,Người mua trả tiền trước dài hạn,332,V.16b,145.096.748.450,145.096.748.450,,332.0,,145096748450.0,145096748450.0
II.,II.,II.,Chi phí phải trả dài hạn,333,V.18b,69.487.059.998,86.016.987.675,,333.0,,69487059998.0,86016987675.0
II.,II.,II.,Doanh thu chưa thực hiện dài hạn,336,V.19b,989.897.336.225,61.856.443.900,,336.0,,989897336225.0,61856443900.0
II.,II.,II.,Phải trả dài hạn khác,337,V.20b,130.767.611.032,137.433.905.894,,337.0,,130767611032.0,137433905894.0
II.,II.,II.,Vay và nợ thuê tài chính dài hạn,338,V.21c,2.900.369.680.797,2.066.129.238.381,,338.0,,2900369680797.0,2066129238381.0
II.,II.,II.,Thuế thu nhập hoãn lại phải trả,341,VI.11,87.288.329.856,84.082.582.839,,341.0,,87288329856.0,84082582839.0
