row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc",Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,865.371.722.010,865.371.722.010,865371722010.0,865371722010.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,896.662.463.805,896.662.463.805,896662463805.0,896662463805.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,13.208.804.402,13.208.804.402,13208804402.0,13208804402.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(594.199.618),(594.199.618),-594199618.0,-594199618.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.774.648.790.599,1.774.648.790.599,1774648790599.0,1774648790599.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,155.260.994.253,155.260.994.253,155260994253.0,155260994253.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,61.391.389.198,61.391.389.198,61391389198.0,61391389198.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,216.652.383.451,216.652.383.451,216652383451.0,216652383451.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,710.110.727.757,710.110.727.757,710110727757.0,710110727757.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.557.996.407.148,1.557.996.407.148,1557996407148.0,1557996407148.0
