row_label_raw,row_label_full,col_0,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số phải thu cuối năm,Số phải nộp cuối năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số phải thu cuối năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,VND,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,-,30.133.358.417,30.133.358.417,-,-,,30133358417.0,30133358417.0,,
"Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu",-,453.781.929,453.781.929,-,-,,453781929.0,453781929.0,,
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,31.386.392.449,32.554.707.668,41.029.082.543,-,22.912.017.574,31386392449.0,32554707668.0,41029082543.0,,22912017574.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,261.914.533,1.664.637.227,1.707.300.733,-,219.251.027,261914533.0,1664637227.0,1707300733.0,,219251027.0
Thuế Tài nguyên,Thuế Tài nguyên,Thuế Tài nguyên,-,9.058.187.585,8.086.066.879,-,972.120.706,,9058187585.0,8086066879.0,,972120706.0
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",155.130.527,3.175.221.828,3.339.983.351,9.630.996,-,155130527.0,3175221828.0,3339983351.0,9630996.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,2.366.592.296,2.366.592.296,-,-,,2366592296.0,2366592296.0,,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,2.621.553.837,1.808.937.733,-,812.616.104,,2621553837.0,1808937733.0,,812616104.0
,,,31.803.437.509,82.028.040.787,88.925.103.881,9.630.996,24.916.005.411,31803437509.0,82028040787.0,88925103881.0,9630996.0,24916005411.0
