row_label_raw,row_label_full,col_0,Xây lắp,Sản xuất công nghiệp,Bất động sản,Thủy điện,Các hoạt động khác,Tổng cộng toàn doanh nghiệp,numeric__Xây lắp,numeric__Sản xuất công nghiệp,numeric__Bất động sản,numeric__Thủy điện,numeric__Các hoạt động khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.390.084.820.324,32.145.332.334,17.283.651.133,136.864.853.181,747.609.640.163,2.323.988.297.135,1390084820324.0,32145332334.0,17283651133.0,136864853181.0,747609640163.0,2323988297135.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,1.255.453.509.296,26.075.501.329,10.134.186.044,57.920.515.071,714.706.453.319,2.064.290.165.059,1255453509296.0,26075501329.0,10134186044.0,57920515071.0,714706453319.0,2064290165059.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,134.631.311.028,6.069.831.005,7.149.465.089,78.944.338.110,32.903.186.844,259.698.132.076,134631311028.0,6069831005.0,7149465089.0,78944338110.0,32903186844.0,259698132076.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,8.197.318.308,-,-,771.209.729.344,1.006.436.179,780.413.483.831,8197318308.0,,,771209729344.0,1006436179.0,780413483831.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,824.854.718.310,56.763.827.581,548.696.262.642,2.168.037.158.869,199.796.562.351,3.798.148.529.753,824854718310.0,56763827581.0,548696262642.0,2168037158869.0,199796562351.0,3798148529753.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,794.893.503.951,,,,,,794893503951.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,824.854.718.310,56.763.827.581,548.696.262.642,2.168.037.158.869,199.796.562.351,4.593.042.033.704,824854718310.0,56763827581.0,548696262642.0,2168037158869.0,199796562351.0,4593042033704.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,619.346.583.005,6.303.891.750,17.940.346.272,1.251.797.217.401,96.319.583.445,1.991.707.621.873,619346583005.0,6303891750.0,17940346272.0,1251797217401.0,96319583445.0,1991707621873.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,75.178.963.638,,,,,,75178963638.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,619.346.583.005,6.303.891.750,17.940.346.272,1.251.797.217.401,96.319.583.445,2.066.886.585.511,619346583005.0,6303891750.0,17940346272.0,1251797217401.0,96319583445.0,2066886585511.0
