row_label_raw,row_label_full,"Tên công ty liên doanh, liên kết",Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
- Công ty Cổ phần Gang thép Cao Bằng,- Công ty Cổ phần Gang thép Cao Bằng,- Công ty Cổ phần Gang thép Cao Bằng,Cao Bằng,"25,09%","25,09%","Khai thác, chế biến và kinh doanh các loại khoáng sản",,0.2509,0.2509,
- Công ty Cổ phần Khoáng sản Tấn Phát,- Công ty Cổ phần Khoáng sản Tấn Phát,- Công ty Cổ phần Khoáng sản Tấn Phát,Cao Bằng,"31,84%","31,84%","Thăm dò khoáng sản, khai thác khoáng sản; Khai thác quặng sắt, Bán buôn kim loại và quặng kim loại",,0.3184,0.3184,
Lí do thay đổi đối với từng khoản đầu tư vào công ty liên kết:,Lí do thay đổi đối với từng khoản đầu tư vào công ty liên kết:,Lí do thay đổi đối với từng khoản đầu tư vào công ty liên kết:,Lí do thay đổi đối với từng khoản đầu tư vào công ty liên kết:,Lí do thay đổi đối với từng khoản đầu tư vào công ty liên kết:,Lí do thay đổi đối với từng khoản đầu tư vào công ty liên kết:,Lí do thay đổi đối với từng khoản đầu tư vào công ty liên kết:,,,,
Góp vốn bổ sung bằng tiền vào Công ty Cổ phần Khoáng sản Tấn Phát theo cam kết góp:,Góp vốn bổ sung bằng tiền vào Công ty Cổ phần Khoáng sản Tấn Phát theo cam kết góp:,Góp vốn bổ sung bằng tiền vào Công ty Cổ phần Khoáng sản Tấn Phát theo cam kết góp:,Góp vốn bổ sung bằng tiền vào Công ty Cổ phần Khoáng sản Tấn Phát theo cam kết góp:,Góp vốn bổ sung bằng tiền vào Công ty Cổ phần Khoáng sản Tấn Phát theo cam kết góp:,Góp vốn bổ sung bằng tiền vào Công ty Cổ phần Khoáng sản Tấn Phát theo cam kết góp:,Góp vốn bổ sung bằng tiền vào Công ty Cổ phần Khoáng sản Tấn Phát theo cam kết góp:,,,,
- Về số lượng:,Góp vốn bổ sung bằng tiền vào Công ty Cổ phần Khoáng sản Tấn Phát theo cam kết góp: > - Về số lượng:,- Về số lượng:,596.200,cổ phần,,,596200.0,,,
- Về giá trị:,Góp vốn bổ sung bằng tiền vào Công ty Cổ phần Khoáng sản Tấn Phát theo cam kết góp: > - Về giá trị:,- Về giá trị:,5.962.000.000,đồng,,,5962000000.0,,,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,,,
Tên công ty nhận đầu tư,Tên công ty nhận đầu tư,Tên công ty nhận đầu tư,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,,,,
- Công ty Cổ phần Bê tông Ly tâm Vinaincon,Tên công ty nhận đầu tư > - Công ty Cổ phần Bê tông Ly tâm Vinaincon,- Công ty Cổ phần Bê tông Ly tâm Vinaincon,Hải Dương,"10,00%","10,00%",Sản xuất bê tông và các sản phẩm từ xi măng và thạch cao,,0.1,0.1,
- Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (BIDV),Tên công ty nhận đầu tư > - Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (BIDV),- Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (BIDV),Hà Nội,"0,00136%","0,00136%",Ngân hàng,,1.36e-05,1.36e-05,
