row_label_raw,row_label_full,col_0,01/01/2022VND,TăngVND,Giảm/(phân bổ chi phí phát hành trái phiếu)VND,31/12/2022VND,numeric__01/01/2022VND,numeric__TăngVND,numeric__Giảm/(phân bổ chi phí phát hành trái phiếu)VND,numeric__31/12/2022VND
Trái phiếu thường phát hành,Trái phiếu thường phát hành,Trái phiếu thường phát hành,3.500.000.000.000,-,1.600.000.000.000,1.900.000.000.000,3500000000000.0,,1600000000000.0,1900000000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(112.750.671.885),-,(74.587.810.670),(38.162.861.215),-112750671885.0,,-74587810670.0,-38162861215.0
Cộng,Cộng,Cộng,3.387.249.328.115,-,1.525.412.189.330,1.861.837.138.785,3387249328115.0,,1525412189330.0,1861837138785.0
