row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc,Máy móc thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản cố định khác,Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản cố định khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,26.061.102.768,5.695.931.313,45.797.032.234,4.512.252.140,431.220.455,82.497.538.910,26061102768.0,5695931313.0,45797032234.0,4512252140.0,431220455.0,82497538910.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,494.008.300,3.615.690.909,419.671.851,88.000.000,4.617.371.060,,494008300.0,3615690909.0,419671851.0,88000000.0,4617371060.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(1.250.072.916),(192.830.000),(125.600.000),(1.568.502.916),,,-1250072916.0,-192830000.0,-125600000.0,-1568502916.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,26.061.102.768,6.189.939.613,48.162.650.227,4.739.093.991,393.620.455,85.546.407.054,26061102768.0,6189939613.0,48162650227.0,4739093991.0,393620455.0,85546407054.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,11.518.698.265,3.982.449.583,19.993.393.644,3.356.715.409,308.748.575,39.160.005.476,11518698265.0,3982449583.0,19993393644.0,3356715409.0,308748575.0,39160005476.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,804.128.124,732.615.489,4.139.223.348,673.460.532,50.447.642,6.399.875.135,804128124.0,732615489.0,4139223348.0,673460532.0,50447642.0,6399875135.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(1.250.072.916),(131.027.800),(48.686.874),(1.429.787.590),,,-1250072916.0,-131027800.0,-48686874.0,-1429787590.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,12.322.826.389,4.715.065.072,22.882.544.076,3.899.148.141,310.509.343,44.130.093.021,12322826389.0,4715065072.0,22882544076.0,3899148141.0,310509343.0,44130093021.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,14.542.404.503,1.713.481.730,25.803.638.590,1.155.536.731,122.471.880,43.337.533.434,14542404503.0,1713481730.0,25803638590.0,1155536731.0,122471880.0,43337533434.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,13.738.276.379,1.474.874.541,25.280.106.151,839.945.850,83.111.112,41.416.314.033,13738276379.0,1474874541.0,25280106151.0,839945850.0,83111112.0,41416314033.0
