row_label_raw,row_label_full,Dự án Khu đô thị mới Nam Vĩnh Yên (i),31/12/2022VND > 1.966.148.860.619,01/01/2022VND > 1.903.832.739.363,numeric__31/12/2022VND > 1.966.148.860.619,numeric__01/01/2022VND > 1.903.832.739.363
"Dự án Khu dân cư phường 4, Hậu Giang (i)","Dự án Khu dân cư phường 4, Hậu Giang (i)","Dự án Khu dân cư phường 4, Hậu Giang (i)",757.567.320.113,384.487.815.123,757567320113.0,384487815123.0
"Dự án Khu du lịch Long Tân, Nhơn Trạch","Dự án Khu du lịch Long Tân, Nhơn Trạch","Dự án Khu du lịch Long Tân, Nhơn Trạch",481.054.996.650,118.691.742.123,481054996650.0,118691742123.0
Dự án Khu phức hợp Cap Saint Jacques,Dự án Khu phức hợp Cap Saint Jacques,Dự án Khu phức hợp Cap Saint Jacques,317.718.382.117,328.167.936.838,317718382117.0,328167936838.0
"Dự án Block B Pullman, Vũng Tàu","Dự án Block B Pullman, Vũng Tàu","Dự án Block B Pullman, Vũng Tàu",278.262.411.361,278.262.411.361,278262411361.0,278262411361.0
"Dự án Block D Pullman, Vũng Tàu","Dự án Block D Pullman, Vũng Tàu","Dự án Block D Pullman, Vũng Tàu",121.940.813.355,40.212.641.226,121940813355.0,40212641226.0
Dự án Khu du lịch đô thị sinh thái Đại Phước (i),Dự án Khu du lịch đô thị sinh thái Đại Phước (i),Dự án Khu du lịch đô thị sinh thái Đại Phước (i),187.863.745.603,182.184.448.198,187863745603.0,182184448198.0
"Dự án Khu nhà ở Lam Hạ Center Point, Thành phố Phú Lý, Hà Nam","Dự án Khu nhà ở Lam Hạ Center Point, Thành phố Phú Lý, Hà Nam","Dự án Khu nhà ở Lam Hạ Center Point, Thành phố Phú Lý, Hà Nam",173.467.496.920,61.131.433.437,173467496920.0,61131433437.0
"Dự án Khu đô thị đường 51B, Vũng Tàu","Dự án Khu đô thị đường 51B, Vũng Tàu","Dự án Khu đô thị đường 51B, Vũng Tàu",99.729.793.872,39.715.428.238,99729793872.0,39715428238.0
"Dự án Khu dân cư Hiệp Phước, Nhơn Trạch","Dự án Khu dân cư Hiệp Phước, Nhơn Trạch","Dự án Khu dân cư Hiệp Phước, Nhơn Trạch",56.072.223.031,151.647.752.450,56072223031.0,151647752450.0
Các dự án khác,Các dự án khác,Các dự án khác,99.781.693.500,57.879.134.287,99781693500.0,57879134287.0
Cộng,Cộng,Cộng,4.539.607.737.141,3.546.213.482.644,4539607737141.0,3546213482644.0
