row_label_raw,row_label_full,col_0,col_1,31/12/2022VND,01/01/2022VND,numeric__col_1,numeric__31/12/2022VND,numeric__01/01/2022VND
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,420.983.269.313,151.756.572.029,,420983269313.0,151756572029.0
Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,Chi phí xây dựng,61.252.982.951,18.130.686.417,,61252982951.0,18130686417.0
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) số 2,Chi phí xây dựng,122.203.119.069,35.462.059.420,,122203119069.0,35462059420.0
Công ty Cổ phần Xây dựng DIC Holdings,Công ty Cổ phần Xây dựng DIC Holdings,Công ty Cổ phần Xây dựng DIC Holdings,Chi phí xây dựng,18.153.147.923,19.990.277.504,,18153147923.0,19990277504.0
Công ty Cổ phần Bất động sản D.I.C,Công ty Cổ phần Bất động sản D.I.C,Công ty Cổ phần Bất động sản D.I.C,Chi phí môi giới,1.161.132.144,73.015.060.525,,1161132144.0,73015060525.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Chi phí dịch vụ,570.592.790,243.192.196,,570592790.0,243192196.0
Công ty TNHH Du lịch DIC,Công ty TNHH Du lịch DIC,Công ty TNHH Du lịch DIC,Chuyển nhượng khoản đầu tư,217.224.766.436,4.915.295.967,,217224766436.0,4915295967.0
Công ty CP Đầu tư Phát triển Xây dựng Du lịch Thẻ thao Vũng Tàu,Công ty CP Đầu tư Phát triển Xây dựng Du lịch Thẻ thao Vũng Tàu,Công ty CP Đầu tư Phát triển Xây dựng Du lịch Thẻ thao Vũng Tàu,Chi phí dịch vụ,417.528.000,-,,417528000.0,
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,202.743.927.581,157.884.645.326,,202743927581.0,157884645326.0
Công ty CP Thủy Cung DIG,Công ty CP Thủy Cung DIG,Công ty CP Thủy Cung DIG,Mượn tiền,147.250.000.000,147.250.000.000,,147250000000.0,147250000000.0
Công ty TNHH Đầu tư Phát triển Xây dựng Hà Nam,Công ty TNHH Đầu tư Phát triển Xây dựng Hà Nam,Công ty TNHH Đầu tư Phát triển Xây dựng Hà Nam,Mượn tiền,9.224.671.181,10.634.645.326,,9224671181.0,10634645326.0
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Thu hộ,5.400.000.000,-,,5400000000.0,
Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Thu hộ,35.869.256.400,-,,35869256400.0,
Công ty TNHH Du Lịch DIC,Công ty TNHH Du Lịch DIC,Công ty TNHH Du Lịch DIC,Ký quỹ,5.000.000.000,-,,5000000000.0,
