row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2022,01/01/2022,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2022,numeric__01/01/2022
A . TÀI SẢN NGÁN HẠN,A . TÀI SẢN NGÁN HẠN,A . TÀI SẢN NGÁN HẠN,100,,9.196.169.722.932,10.698.235.753.018,100.0,,9196169722932.0,10698235753018.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,V.1,226.795.681.595,976.496.694.483,110.0,,226795681595.0,976496694483.0
1. Tiền,1. Tiền,1. Tiền,111,,217.305.466.176,357.024.156.224,111.0,,217305466176.0,357024156224.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,9.490.215.419,619.472.538.259,112.0,,9490215419.0,619472538259.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,127.900.000.000,2.687.992.265.983,120.0,,127900000000.0,2687992265983.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,V.2,127.900.000.000,2.687.992.265.983,123.0,,127900000000.0,2687992265983.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,4.086.779.198.967,3.245.355.284.952,130.0,,4086779198967.0,3245355284952.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,V.3,980.493.178.973,1.053.692.418.807,131.0,,980493178973.0,1053692418807.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,V.4,205.940.911.552,207.144.092.001,132.0,,205940911552.0,207144092001.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,V.5,294.230.000.000,242.780.000.000,135.0,,294230000000.0,242780000000.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,V.6,2.620.957.065.346,1.756.580.731.048,136.0,,2620957065346.0,1756580731048.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(14.841.956.904),(14.841.956.904),137.0,,-14841956904.0,-14841956904.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,V.8,4.566.340.198.977,3.596.613.620.752,140.0,,4566340198977.0,3596613620752.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,4.566.340.198.977,3.596.613.620.752,141.0,,4566340198977.0,3596613620752.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,188.354.643.393,191.777.886.848,150.0,,188354643393.0,191777886848.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,V.9,154.700.653.988,175.307.812.659,151.0,,154700653988.0,175307812659.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,20.899.832.525,542.400.157,152.0,,20899832525.0,542400157.0
3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,153,V.15,12.754.156.880,15.927.674.032,153.0,,12754156880.0,15927674032.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,4.989.042.774.141,5.471.411.818.789,200.0,,4989042774141.0,5471411818789.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,2.381.153.760.509,4.165.072.967.009,210.0,,2381153760509.0,4165072967009.0
1. Phải thu về cho vay dài hạn,1. Phải thu về cho vay dài hạn,1. Phải thu về cho vay dài hạn,215,V.5,-,54.800.000.000,215.0,,,54800000000.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,V.6,2.381.153.760.509,4.110.272.967.009,216.0,,2381153760509.0,4110272967009.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,44.859.175.901,47.136.765.886,220.0,,44859175901.0,47136765886.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,V.10,41.416.314.033,43.337.533.434,221.0,,41416314033.0,43337533434.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,85.546.407.054,82.497.538.910,222.0,,85546407054.0,82497538910.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(44.130.093.021),(39.160.005.476),223.0,,-44130093021.0,-39160005476.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,V.11,3.442.861.868,3.799.232.452,227.0,,3442861868.0,3799232452.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,3.689.239.600,4.216.976.600,228.0,,3689239600.0,4216976600.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(246.377.732),(417.744.148),229.0,,-246377732.0,-417744148.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,V.12,103.767.439.988,106.656.556.640,230.0,,103767439988.0,106656556640.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,144.455.832.878,144.455.832.878,231.0,,144455832878.0,144455832878.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(40.688.392.890),(37.799.276.238),232.0,,-40688392890.0,-37799276238.0
