row_label_raw,row_label_full,BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,2 – 3,numeric__2 – 3
BÁO CÁO KIỂM TOÁN ĐỌC LẬP,BÁO CÁO KIỂM TOÁN ĐỌC LẬP,BÁO CÁO KIỂM TOÁN ĐỌC LẬP,4,4.0
BÁO CÁO TÀI CHÍNH ĐÃ ĐƯỢC KIỂM TOÁN,BÁO CÁO TÀI CHÍNH ĐÃ ĐƯỢC KIỂM TOÁN,BÁO CÁO TÀI CHÍNH ĐÃ ĐƯỢC KIỂM TOÁN,,
Bằng cân đối kế toán,Bằng cân đối kế toán,Bằng cân đối kế toán,5 – 7,
Báo cáo kết quả hoạt động kinh doanh,Bằng cân đối kế toán > Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,8,8.0
Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,9 – 10,
Bản thuyết minh Báo cáo tài chính,Bản thuyết minh Báo cáo tài chính,Bản thuyết minh Báo cáo tài chính,11 – 40,
