row_label_raw,row_label_full,Chỉ tiêu > Lưu chuyển tiền thuần trong năm > Tiền và tương đương tiền đầu năm,Mã số > 50 > 60,Năm nay > (749.701.259.408) > 976.496.694.483,Năm trước > 592.115.027.801 > 384.381.658.731,numeric__Mã số > 50 > 60,numeric__Năm nay > (749.701.259.408) > 976.496.694.483,numeric__Năm trước > 592.115.027.801 > 384.381.658.731
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,246.520,7.951,61.0,246520.0,7951.0
Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,226.795.681.595,976.496.694.483,70.0,226795681595.0,976496694483.0
