row_label_raw,row_label_full,col_0,31/12/2022 > Giá gốc VND,31/12/2022 > Giá trị ghi sổ VND,01/01/2022 > Giá gốc VND,01/01/2022 > Giá trị ghi sổ VND,numeric__31/12/2022 > Giá gốc VND,numeric__31/12/2022 > Giá trị ghi sổ VND,numeric__01/01/2022 > Giá gốc VND,numeric__01/01/2022 > Giá trị ghi sổ VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,127.900.000.000,127.900.000.000,2.687.992.265.983,2.687.992.265.983,127900000000.0,127900000000.0,2687992265983.0,2687992265983.0
Tiền gửi có,Tiền gửi có,Tiền gửi có,127.900.000.000,127.900.000.000,1.496.900.000.000,1.496.900.000.000,127900000000.0,127900000000.0,1496900000000.0,1496900000000.0
kỳ hạn (i),kỳ hạn (i),kỳ hạn (i),,,,,,,,
Trái phiếu,kỳ hạn (i) > Trái phiếu,Trái phiếu,-,-,1.191.092.265.983,1.191.092.265.983,,,1191092265983.0,1191092265983.0
Dài hạn,kỳ hạn (i) > Dài hạn,Dài hạn,29.000.000.000,29.000.000.000,33.000.000.000,33.000.000.000,29000000000.0,29000000000.0,33000000000.0,33000000000.0
Trái phiếu (ii),kỳ hạn (i) > Trái phiếu (ii),Trái phiếu (ii),29.000.000.000,29.000.000.000,33.000.000.000,33.000.000.000,29000000000.0,29000000000.0,33000000000.0,33000000000.0
Cộng,kỳ hạn (i) > Cộng,Cộng,156.900.000.000,156.900.000.000,2.720.992.265.983,2.720.992.265.983,156900000000.0,156900000000.0,2720992265983.0,2720992265983.0
