row_label_raw,row_label_full,Số dư đầu năm trước,Vốn góp của chủ sở hữu > 3.184.925.510.000,Thặng dư vốn cổ phần > 296.535.538.421,Quỹ đầu tư phát triển > 212.824.592.482,Lợi nhuận sau thuế chưa phân phối > 989.240.876.031,Đơn vị tính: VND Tổng cộng > 4.683.526.516.934,numeric__Vốn góp của chủ sở hữu > 3.184.925.510.000,numeric__Thặng dư vốn cổ phần > 296.535.538.421,numeric__Quỹ đầu tư phát triển > 212.824.592.482,numeric__Lợi nhuận sau thuế chưa phân phối > 989.240.876.031,numeric__Đơn vị tính: VND Tổng cộng > 4.683.526.516.934
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,913.984.110.000,-,-,(913.984.110.000),-,913984110000.0,,,-913984110000.0,
Phát hành cổ phiếu cho người lao động (ii),Phát hành cổ phiếu cho người lao động (ii),Phát hành cổ phiếu cho người lao động (ii),150.000.000.000,74.782.000.000,-,-,224.782.000.000,150000000000.0,74782000000.0,,,224782000000.0
Phát hành cổ phiếu riêng lẻ (iii),Phát hành cổ phiếu riêng lẻ (iii),Phát hành cổ phiếu riêng lẻ (iii),750.000.000.000,749.802.000.000,-,-,1.499.802.000.000,750000000000.0,749802000000.0,,,1499802000000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,988.569.680.575,988.569.680.575,,,,988569680575.0,988569680575.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,14.620.940.171,(14.620.940.171),-,,,14620940171.0,-14620940171.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(34.115.527.064),(34.115.527.064),,,,-34115527064.0,-34115527064.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,4.998.909.620.000,1.121.119.538.421,227.445.532.653,1.015.089.979.371,7.362.564.670.445,4998909620000.0,1121119538421.0,227445532653.0,1015089979371.0,7362564670445.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),849.728.490.000,,,(849.728.490.000),-,849728490000.0,,,-849728490000.0,
Tăng vốn bằng nguồn thẳng dư vốn cổ phần và quỹ đầu tư phát triển (i),Tăng vốn bằng nguồn thẳng dư vốn cổ phần và quỹ đầu tư phát triển (i),Tăng vốn bằng nguồn thẳng dư vốn cổ phần và quỹ đầu tư phát triển (i),249.881.840.000,(74.782.000.000),(175.099.840.000),-,-,249881840000.0,-74782000000.0,-175099840000.0,,
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,,,,130.699.687.738,130.699.687.738,,,,130699687738.0,130699687738.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,,,29.657.090.417,(29.657.090.417),-,,,29657090417.0,-29657090417.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,,,,(69.199.877.640),(69.199.877.640),,,,-69199877640.0,-69199877640.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,6.098.519.950.000,1.046.337.538.421,82.002.783.070,197.204.209.052,7.424.064.480.543,6098519950000.0,1046337538421.0,82002783070.0,197204209052.0,7424064480543.0
