row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1
,,,Số cuối năm VND,Số đầu năm VND,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,167.288.446.450,24.433.669.514,167288446450.0,24433669514.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,134.832.161.551,-,134832161551.0,
Trích trước chi phí thuê đất (chưa có thông báo của Cơ quan Thuế),Trích trước chi phí thuê đất (chưa có thông báo của Cơ quan Thuế),Trích trước chi phí thuê đất (chưa có thông báo của Cơ quan Thuế),12.579.689.459,9.292.020.935,12579689459.0,9292020935.0
Khẩu hao tài sản cố định tạm tăng (chưa có hóa đơn),Khẩu hao tài sản cố định tạm tăng (chưa có hóa đơn),Khẩu hao tài sản cố định tạm tăng (chưa có hóa đơn),9.104.164.337,9.125.910.988,9104164337.0,9125910988.0
Chi phí sữa chữa (chưa có hóa đơn),Chi phí sữa chữa (chưa có hóa đơn),Chi phí sữa chữa (chưa có hóa đơn),7.844.697.132,4.832.716.667,7844697132.0,4832716667.0
Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ,2.927.733.971,1.183.020.924,2927733971.0,1183020924.0
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,278.049.034,407.711.498,278049034.0,407711498.0
Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,278.049.034,407.711.498,278049034.0,407711498.0
Tài sản thuế TNDN hoãn lại thuần,Tài sản thuế TNDN hoãn lại thuần,Tài sản thuế TNDN hoãn lại thuần,167.010.397.416,24.025.958.016,167010397416.0,24025958016.0
