row_label_raw,row_label_full,col_0,Số đầu năm VND,Số tăng trong năm VND,Số giảm trong năm VND,Số cuối năm VND,numeric__Số đầu năm VND,numeric__Số tăng trong năm VND,numeric__Số giảm trong năm VND,numeric__Số cuối năm VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,1.842.007.882.476,357.569.967.980,1.484.437.914.496,,1842007882476.0,357569967980.0,1484437914496.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,450.000,524.452.447.083,484.957.040.344,39.495.856.739,450000.0,524452447083.0,484957040344.0,39495856739.0
Thuế nhà thầu,Phải nộp > Thuế nhà thầu,Thuế nhà thầu,7.091.520.612,51.720.637.115,46.440.202.484,12.371.955.243,7091520612.0,51720637115.0,46440202484.0,12371955243.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,55.939.934,103.883.481.010,98.505.151.548,5.434.269.396,55939934.0,103883481010.0,98505151548.0,5434269396.0
"Thuế nhà đất, tiền thuê đất","Phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",2.107.273.788,93.573.180.894,93.389.300.555,2.291.154.127,2107273788.0,93573180894.0,93389300555.0,2291154127.0
Thuế bảo vệ môi trường,Phải nộp > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,83.376.958,1.605.008.523,1.537.758.263,150.627.218,83376958.0,1605008523.0,1537758263.0,150627218.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,193.048.160,452.046.200,610.168.600,34.925.760,193048160.0,452046200.0,610168600.0,34925760.0
Thuế môn bài,Phải nộp > Thuế môn bài,Thuế môn bài,-,28.000.000,28.000.000,-,,28000000.0,28000000.0,
"Thuế xuất, nhập khẩu","Phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,78.827.040,78.827.040,-,,78827040.0,78827040.0,
Các khoản thuế khác,Phải nộp > Các khoản thuế khác,Các khoản thuế khác,37.073.513,960.423.871.187,960.459.684.415,1.260.285,37073513.0,960423871187.0,960459684415.0,1260285.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,9.568.682.965,3.578.225.381.528,2.043.576.101.229,1.544.217.963.264,9568682965.0,3578225381528.0,2043576101229.0,1544217963264.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thu nhập cá nhân,Phải thu > Thu nhập cá nhân,Thu nhập cá nhân,61.651.363.763,497.430.915,47.848.190.734,14.300.603.944,61651363763.0,497430915.0,47848190734.0,14300603944.0
"Thuế nhà đất, tiền thuê đất","Phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",3.038.135.032,1.355.718.165,1.534.362.176,2.859.491.021,3038135032.0,1355718165.0,1534362176.0,2859491021.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,158.198.947.646,-,157.569.967.980,628.979.666,158198947646.0,,157569967980.0,628979666.0
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,303.926.942,18.727.236,303.926.942,18.727.236,303926942.0,18727236.0,303926942.0,18727236.0
Các khoản khác,Phải thu > Các khoản khác,Các khoản khác,1.590.925,155.974,-,1.746.899,1590925.0,155974.0,,1746899.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,223.193.964.308,1.872.032.290,207.256.447.832,17.809.548.766,223193964308.0,1872032290.0,207256447832.0,17809548766.0
