row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
1. Doanh thu về bán hàng và cung cấp dịch vụ,1. Doanh thu về bán hàng và cung cấp dịch vụ,1. Doanh thu về bán hàng và cung cấp dịch vụ,01,23.1,13.899.939.268.464,4.774.331.114.808,1.0,231.0,13899939268464.0,4774331114808.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,23.1,93.004.251.434,22.295.059.603,2.0,231.0,93004251434.0,22295059603.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,23.1,13.806.935.017.030,4.752.036.055.205,10.0,231.0,13806935017030.0,4752036055205.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,24,7.308.367.535.243,5.537.389.768.144,11.0,24.0,7308367535243.0,5537389768144.0
5. Lợi nhuận (lỗ) gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận (lỗ) gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận (lỗ) gộp về bán hàng và cung cấp dịch vụ,20,,6.498.567.481.787,(785.353.712.939),20.0,,6498567481787.0,-785353712939.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,23.2,4.113.978.002.295,3.253.718.649.228,21.0,232.0,4113978002295.0,3253718649228.0
7. Chi phí tài chính - Trong đó: Chi phí lãi vay,7. Chi phí tài chính - Trong đó: Chi phí lãi vay,7. Chi phí tài chính - Trong đó: Chi phí lãi vay,22 23,25,93.959.675.547 73.083.857.692,204.089.149.329 88.792.729.468,,25.0,,
"8. Phần lãi trong công ty liên doanh, liên kết","8. Phần lãi trong công ty liên doanh, liên kết","8. Phần lãi trong công ty liên doanh, liên kết",24,,178.867.922.871,33.260.644.371,24.0,,178867922871.0,33260644371.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,26,220.063.489.580,84.663.450.420,25.0,26.0,220063489580.0,84663450420.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,27,1.704.785.102.284,1.231.835.815.756,26.0,27.0,1704785102284.0,1231835815756.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,30,,8.772.605.139.542,981.037.165.155,30.0,,8772605139542.0,981037165155.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,,17.474.681.085,9.788.660.601,31.0,,17474681085.0,9788660601.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,,1.048.060.361,540.590.870,32.0,,1048060361.0,540590870.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,40,,16.426.620.724,9.248.069.731,40.0,,16426620724.0,9248069731.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,50,,8.789.031.760.266,990.285.234.886,50.0,,8789031760266.0,990285234886.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,29.1,1.842.007.882.476,168.550.545.143,51.0,291.0,1842007882476.0,168550545143.0
17. (Thu nhập) chi phí thuế TNDN hoãn lại,17. (Thu nhập) chi phí thuế TNDN hoãn lại,17. (Thu nhập) chi phí thuế TNDN hoãn lại,52,29.3,(142.984.439.400),32.135.218.733,52.0,293.0,-142984439400.0,32135218733.0
18. Lợi nhuận sau thuế TNDN,18. Lợi nhuận sau thuế TNDN,18. Lợi nhuận sau thuế TNDN,60,,7.090.008.317.190,789.599.471.010,60.0,,7090008317190.0,789599471010.0
