row_label_raw,row_label_full,Bên liên quan,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Doanh thu đối với các bên liên quan,Doanh thu đối với các bên liên quan,Doanh thu đối với các bên liên quan,Doanh thu đối với các bên liên quan,Doanh thu đối với các bên liên quan,,
Công ty Cổ phần Dịch vụ Hàng khôngSân bay Tân Sơn Nhất,Doanh thu đối với các bên liên quan > Công ty Cổ phần Dịch vụ Hàng khôngSân bay Tân Sơn Nhất,Công ty Cổ phần Dịch vụ Hàng khôngSân bay Tân Sơn Nhất,219.975.757.702,60.550.981.880,219975757702.0,60550981880.0
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Doanh thu đối với các bên liên quan > Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,104.487.818.305,39.187.282.625,104487818305.0,39187282625.0
Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Doanh thu đối với các bên liên quan > Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Công ty Cổ phần Phục vụ Mặt đất Hà Nội,64.203.851.480,31.428.323.152,64203851480.0,31428323152.0
Công ty Cổ phần Vận tải Hàng không MiềnNam,Doanh thu đối với các bên liên quan > Công ty Cổ phần Vận tải Hàng không MiềnNam,Công ty Cổ phần Vận tải Hàng không MiềnNam,8.807.195.529,6.615.779.989,8807195529.0,6615779989.0
Công ty TNHH Dịch vụ Bảo dưỡng Máy bayCâng Hàng không Miền Nam,Doanh thu đối với các bên liên quan > Công ty TNHH Dịch vụ Bảo dưỡng Máy bayCâng Hàng không Miền Nam,Công ty TNHH Dịch vụ Bảo dưỡng Máy bayCâng Hàng không Miền Nam,6.661.776.524,5.614.765.225,6661776524.0,5614765225.0
Công ty Cổ phần Thương mại Hàng khôngMiền Nam,Doanh thu đối với các bên liên quan > Công ty Cổ phần Thương mại Hàng khôngMiền Nam,Công ty Cổ phần Thương mại Hàng khôngMiền Nam,16.909.091,15.500.000,16909091.0,15500000.0
,,,404.153.308.631,143.412.632.871,404153308631.0,143412632871.0
Mua hàng với các bên liên quan,Mua hàng với các bên liên quan,Mua hàng với các bên liên quan,Mua hàng với các bên liên quan,Mua hàng với các bên liên quan,,
Công ty Cổ phần Dịch vụ Hàng khôngSân bay Tân Sơn Nhất,Mua hàng với các bên liên quan > Công ty Cổ phần Dịch vụ Hàng khôngSân bay Tân Sơn Nhất,Công ty Cổ phần Dịch vụ Hàng khôngSân bay Tân Sơn Nhất,16.564.185.952,3.874.506.054,16564185952.0,3874506054.0
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Mua hàng với các bên liên quan > Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,14.325.443.645,7.703.978.743,14325443645.0,7703978743.0
Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Mua hàng với các bên liên quan > Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Công ty Cổ phần Phục vụ Mặt đất Hà Nội,1.269.330.699,1.218.247.792,1269330699.0,1218247792.0
Công ty Cổ phần Thương mại Hàng khôngMiền Nam,Mua hàng với các bên liên quan > Công ty Cổ phần Thương mại Hàng khôngMiền Nam,Công ty Cổ phần Thương mại Hàng khôngMiền Nam,909.766.138,531.723.634,909766138.0,531723634.0
Công ty Cổ phần Vận tải Hàng không MiềnNam,Mua hàng với các bên liên quan > Công ty Cổ phần Vận tải Hàng không MiềnNam,Công ty Cổ phần Vận tải Hàng không MiềnNam,493.179.914,254.786.552,493179914.0,254786552.0
,,,33.561.906.348,13.583.242.775,33561906348.0,13583242775.0
Doanh thu tài chính với các bên liên quan,Doanh thu tài chính với các bên liên quan,Doanh thu tài chính với các bên liên quan,Doanh thu tài chính với các bên liên quan,Doanh thu tài chính với các bên liên quan,,
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Doanh thu tài chính với các bên liên quan > Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,40.320.127.500,40.320.127.502,40320127500.0,40320127502.0
Công ty Cổ phần Dịch vụ Hàng khôngSân bay Tân Sơn Nhất,Doanh thu tài chính với các bên liên quan > Công ty Cổ phần Dịch vụ Hàng khôngSân bay Tân Sơn Nhất,Công ty Cổ phần Dịch vụ Hàng khôngSân bay Tân Sơn Nhất,37.140.881.400,39.302.520.000,37140881400.0,39302520000.0
Công ty TNHH Dịch vụ bảo dưỡng máy bayCâng hàng không Miền Nam,Doanh thu tài chính với các bên liên quan > Công ty TNHH Dịch vụ bảo dưỡng máy bayCâng hàng không Miền Nam,Công ty TNHH Dịch vụ bảo dưỡng máy bayCâng hàng không Miền Nam,5.949.150.000,-,5949150000.0,
Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Doanh thu tài chính với các bên liên quan > Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Công ty Cổ phần Phục vụ Mặt đất Hà Nội,4.500.000.000,7.600.000.000,4500000000.0,7600000000.0
,,,87.910.158.900,87.222.647.502,87910158900.0,87222647502.0
