row_label_raw,row_label_full,Bên liên quan (Thuyết minh số 30),Số cuối nămVND > 8.145.667.148,Số đầu nămVND > 3.089.436.158,numeric__Số cuối nămVND > 8.145.667.148,numeric__Số đầu nămVND > 3.089.436.158
Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,908.427.644.626,603.594.829.600,908427644626.0,603594829600.0
New Asia Wave International Pte. Ltd,New Asia Wave International Pte. Ltd,New Asia Wave International Pte. Ltd,165.366.691.355,13.273.621.194,165366691355.0,13273621194.0
Công ty Cổ phần Thiết bị và Công nghệ VTG,Công ty Cổ phần Thiết bị và Công nghệ VTG,Công ty Cổ phần Thiết bị và Công nghệ VTG,77.913.257.541,75.987.414.317,77913257541.0,75987414317.0
Công ty Cổ phần Thiết bị Mỹ Kim,Công ty Cổ phần Thiết bị Mỹ Kim,Công ty Cổ phần Thiết bị Mỹ Kim,62.919.440.543,-,62919440543.0,
Tổng Công ty Xây dựng Công trình Hàng không ACC,Tổng Công ty Xây dựng Công trình Hàng không ACC,Tổng Công ty Xây dựng Công trình Hàng không ACC,36.587.989.206,50.804.503.145,36587989206.0,50804503145.0
Công ty Cổ phần Thương mại Duy Anh,Công ty Cổ phần Thương mại Duy Anh,Công ty Cổ phần Thương mại Duy Anh,36.003.517.897,23.456.134.684,36003517897.0,23456134684.0
Công ty Cổ phần Tập đoàn CIENCO4,Công ty Cổ phần Tập đoàn CIENCO4,Công ty Cổ phần Tập đoàn CIENCO4,32.923.675.649,7.852.736.220,32923675649.0,7852736220.0
Công ty TNHH Autogrill VFS F&B,Công ty TNHH Autogrill VFS F&B,Công ty TNHH Autogrill VFS F&B,27.805.838.603,360.627.841,27805838603.0,360627841.0
Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (Vinaconex),Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (Vinaconex),Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (Vinaconex),22.977.358.097,-,22977358097.0,
Công ty TNHH Vũ Minh,Công ty TNHH Vũ Minh,Công ty TNHH Vũ Minh,21.705.466.844,-,21705466844.0,
Công ty TNHH Xây dựng Lưu Nguyễn,Công ty TNHH Xây dựng Lưu Nguyễn,Công ty TNHH Xây dựng Lưu Nguyễn,20.373.322.182,-,20373322182.0,
Công ty TNHH Kỹ thuật Quản lý bay,Công ty TNHH Kỹ thuật Quản lý bay,Công ty TNHH Kỹ thuật Quản lý bay,18.514.718.856,-,18514718856.0,
Công ty Cổ phần Phát triển Đầu tư Xây dựng Việt Nam (VINADIC),Công ty Cổ phần Phát triển Đầu tư Xây dựng Việt Nam (VINADIC),Công ty Cổ phần Phát triển Đầu tư Xây dựng Việt Nam (VINADIC),17.221.594.409,-,17221594409.0,
Công ty TNHH Thời trang và Mỹ phẩm Âu Châu,Công ty TNHH Thời trang và Mỹ phẩm Âu Châu,Công ty TNHH Thời trang và Mỹ phẩm Âu Châu,17.099.970.740,11.572.188.763,17099970740.0,11572188763.0
JRP International Pte Ltd - Singapore,JRP International Pte Ltd - Singapore,JRP International Pte Ltd - Singapore,14.434.094.515,14.434.094.515,14434094515.0,14434094515.0
Công ty TNHH Thương mại Khánh Thiện,Công ty TNHH Thương mại Khánh Thiện,Công ty TNHH Thương mại Khánh Thiện,13.548.981.000,14.386.347.899,13548981000.0,14386347899.0
Công ty Cổ phần Dịch Vụ và Kỹ Thuật Cơ điện lạnh REE,Công ty Cổ phần Dịch Vụ và Kỹ Thuật Cơ điện lạnh REE,Công ty Cổ phần Dịch Vụ và Kỹ Thuật Cơ điện lạnh REE,12.025.755.090,-,12025755090.0,
Công ty Cổ phần Đầu tư Xây dựng Phúc Tường Vinh,Công ty Cổ phần Đầu tư Xây dựng Phúc Tường Vinh,Công ty Cổ phần Đầu tư Xây dựng Phúc Tường Vinh,10.408.294.410,4.063.910.307,10408294410.0,4063910307.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,300.597.677.689,387.403.250.715,300597677689.0,387403250715.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,916.573.311.774,606.684.265.758,916573311774.0,606684265758.0
