row_label_raw,row_label_full,col_0,Bản quyền VND,Phần mềm máy tính VND,TSCĐ vô hình khác VND,Tổng cộng VND,numeric__Bản quyền VND,numeric__Phần mềm máy tính VND,numeric__TSCĐ vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,2.661.339.000,19.388.197.282,170.000.000,22.219.536.282,2661339000.0,19388197282.0,170000000.0,22219536282.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,-,543.100.000,-,543.100.000,,543100000.0,,543100000.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,(395.000.000),-,(395.000.000),,-395000000.0,,-395000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,2.661.339.000,19.536.297.282,170.000.000,22.367.636.282,2661339000.0,19536297282.0,170000000.0,22367636282.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,2.661.339.000,18.067.756.255,170.000.000,20.899.095.255,2661339000.0,18067756255.0,170000000.0,20899095255.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,1.109.747.408,-,1.109.747.408,,1109747408.0,,1109747408.0
Thanh lý,Giá trị hao mòn lũy kế: > Thanh lý,Thanh lý,-,(395.000.000),-,(395.000.000),,-395000000.0,,-395000000.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,2.661.339.000,18.782.503.663,170.000.000,21.613.842.663,2661339000.0,18782503663.0,170000000.0,21613842663.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,-,1.320.441.027,-,1.320.441.027,,1320441027.0,,1320441027.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,753.793.619,-,753.793.619,,753793619.0,,753793619.0
