row_label_raw,row_label_full,col_0,col_1,Năm nayVND,Năm trướcVND,numeric__col_1,numeric__Năm nayVND,numeric__Năm trướcVND
"Hội đồng quản trị, Ban Tổng Giám đốc và Kế toán trưởng:","Hội đồng quản trị, Ban Tổng Giám đốc và Kế toán trưởng:","Hội đồng quản trị, Ban Tổng Giám đốc và Kế toán trưởng:","Hội đồng quản trị, Ban Tổng Giám đốc và Kế toán trưởng:",15.162.931.226,7.560.615.051,,15162931226.0,7560615051.0
Ông Lại Xuân Thanh,Ông Lại Xuân Thanh,Ông Lại Xuân Thanh,Chủ tịch,1.526.171.831,955.136.361,,1526171831.0,955136361.0
Ông Vũ Thế Phiệt,Ông Vũ Thế Phiệt,Ông Vũ Thế Phiệt,Tổng Giám đốc,1.499.352.513,941.743.154,,1499352513.0,941743154.0
Ông Đào Việt Dũng,Ông Đào Việt Dũng,Ông Đào Việt Dũng,Thành viên,1.427.756.812,902.061.166,,1427756812.0,902061166.0
Bà Lê Thị Diệu Thúy,Bà Lê Thị Diệu Thúy,Bà Lê Thị Diệu Thúy,Thành viên,1.407.860.824,889.019.209,,1407860824.0,889019209.0
Ông Nguyễn Tiến Việt (**),Ông Nguyễn Tiến Việt (**),Ông Nguyễn Tiến Việt (**),Thành viên,949.912.845,145.534.368,,949912845.0,145534368.0
Ông Lê Văn Khiên (**),Ông Lê Văn Khiên (**),Ông Lê Văn Khiên (**),Thành viên,950.783.554,151.731.888,,950783554.0,151731888.0
Bà Nguyễn Thị Hồng,Bà Nguyễn Thị Hồng,Bà Nguyễn Thị Hồng,Thành viên,,,,,
Phương (***),Bà Nguyễn Thị Hồng > Phương (***),Phương (***),,965.527.116,148.788.614,,965527116.0,148788614.0
Ông Đỗ Tất Bình,Bà Nguyễn Thị Hồng > Ông Đỗ Tất Bình,Ông Đỗ Tất Bình,Phó Tổng Giám đốc,1.348.970.438,871.038.331,,1348970438.0,871038331.0
Ông Nguyễn Đức Hùng,Bà Nguyễn Thị Hồng > Ông Nguyễn Đức Hùng,Ông Nguyễn Đức Hùng,Phó Tổng Giám đốc,1.362.444.992,719.228.780,,1362444992.0,719228780.0
Ông Trần Anh Vũ (*),Bà Nguyễn Thị Hồng > Ông Trần Anh Vũ (*),Ông Trần Anh Vũ (*),Phó Tổng Giám đốc,1.024.096.150,262.676.613,,1024096150.0,262676613.0
Ông Nguyễn Quốc Phương,Bà Nguyễn Thị Hồng > Ông Nguyễn Quốc Phương,Ông Nguyễn Quốc Phương,Phó Tổng Giám đốc,1.322.315.485,716.460.883,,1322315485.0,716460883.0
Ông Bùi Á Đông,Bà Nguyễn Thị Hồng > Ông Bùi Á Đông,Ông Bùi Á Đông,Kế toán trưởng,1.377.738.666,857.195.684,,1377738666.0,857195684.0
Ban Kiểm soát:,Bà Nguyễn Thị Hồng > Ban Kiểm soát:,Ban Kiểm soát:,Ban Kiểm soát:,2.705.641.645,1.427.856.801,,2705641645.0,1427856801.0
Bà Huỳnh Thị Diệu,Bà Nguyễn Thị Hồng > Bà Huỳnh Thị Diệu,Bà Huỳnh Thị Diệu,Trường ban,1.341.617.476,819.211.019,,1341617476.0,819211019.0
Ông Nguyễn Hữu Phúc,Bà Nguyễn Thị Hồng > Ông Nguyễn Hữu Phúc,Ông Nguyễn Hữu Phúc,Thành viên,817.948.995,510.524.043,,817948995.0,510524043.0
Ông Lương Quốc Bình (**),Bà Nguyễn Thị Hồng > Ông Lương Quốc Bình (**),Ông Lương Quốc Bình (**),Thành viên,546.075.174,98.121.739,,546075174.0,98121739.0
TỔNG CỘNG,Bà Nguyễn Thị Hồng > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,17.868.572.871,8.988.471.852,,17868572871.0,8988471852.0
