row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,Tổng cộngVND,numeric__Nhà cửa vàvật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,26.082.121.405.900,14.385.471.376.515,2.955.297.619.118,114.574.161.724,43.537.464.563.257,26082121405900.0,14385471376515.0,2955297619118.0,114574161724.0,43537464563257.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,602.648.192,477.271.653.562,15.979.914.995,8.336.492.605,502.190.709.354,602648192.0,477271653562.0,15979914995.0,8336492605.0,502190709354.0
Đầu tư xây dựng cơ bảnhoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,1.021.309.525.093,49.091.443.046,,,1.070.400.968.139,1021309525093.0,49091443046.0,,,1070400968139.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(170.693.133),(36.098.458.575),(15.535.552.953),(365.000.277),(52.169.704.938),-170693133.0,-36098458575.0,-15535552953.0,-365000277.0,-52169704938.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,(971.257.759),-,-,(971.257.759),,-971257759.0,,,-971257759.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,27.103.862.886.052,14.874.764.756.789,2.955.741.981.160,122.545.654.052,45.056.915.278.053,27103862886052.0,14874764756789.0,2955741981160.0,122545654052.0,45056915278053.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,16.171.640.878.518,12.579.099.832.795,2.183.412.356.154,94.818.817.966,31.028.971.885.433,16171640878518.0,12579099832795.0,2183412356154.0,94818817966.0,31028971885433.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,1.417.410.575.901,668.717.147.591,244.995.257.641,6.520.149.280,2.337.643.130.413,1417410575901.0,668717147591.0,244995257641.0,6520149280.0,2337643130413.0
Thanh lý,Giá trị hao mòn lũy kế: > Thanh lý,Thanh lý,(170.693.133),(36.098.458.575),(15.535.552.953),(365.000.277),(52.169.704.938),-170693133.0,-36098458575.0,-15535552953.0,-365000277.0,-52169704938.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,-,(628.950.517),-,-,(628.950.517),,-628950517.0,,,-628950517.0
Chuyển nhóm tài sản,Giá trị hao mòn lũy kế: > Chuyển nhóm tài sản,Chuyển nhóm tài sản,157.972.458,(157.972.458),-,-,-,157972458.0,-157972458.0,,,
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,17.589.038.733.744,13.210.931.598.836,2.412.872.060.842,100.973.966.969,33.313.816.360.391,17589038733744.0,13210931598836.0,2412872060842.0,100973966969.0,33313816360391.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,9.910.480.527.382,1.806.371.543.720,771.885.262.964,19.755.343.758,12.508.492.677.824,9910480527382.0,1806371543720.0,771885262964.0,19755343758.0,12508492677824.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,9.514.824.152.308,1.663.833.157.953,542.869.920.318,21.571.687.083,11.743.098.917.662,9514824152308.0,1663833157953.0,542869920318.0,21571687083.0,11743098917662.0
