row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Số đầu năm,Số đầu năm,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,9.705.052.958.099,42.155.409.556,37.565.218.479.887,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,9705052958099.0,42155409556.0,37565218479887.0
Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,479.772.413.300,(169.975.597),479.602.437.703,,,,,479772413300.0,-169975597.0,479602437703.0
"Trích quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(390.360.000.000),-,(390.360.000.000),,,,,-390360000000.0,,-390360000000.0
Trích quỹ thưởng ban điều hành,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,-,-,-,-,(1.769.040.000),-,(1.769.040.000),,,,,-1769040000.0,,-1769040000.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Số cuối năm,Số cuối năm,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,9.792.696.331.399,41.985.433.959,37.652.691.877.590,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,9792696331399.0,41985433959.0,37652691877590.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Số đầu năm,Số đầu năm,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,9.792.696.331.399,41.985.433.959,37.652.691.877.590,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,9792696331399.0,41985433959.0,37652691877590.0
Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,6.192.777.307.875,5.538.999.343,6.198.316.307.218,,,,,6192777307875.0,5538999343.0,6198316307218.0
"Trích quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(73.438.853.245),-,(73.438.853.245),,,,,-73438853245.0,,-73438853245.0
Trích quỹ thưởng ban điều hành,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,-,-,-,-,(1.115.163.000),-,(1.115.163.000),,,,,-1115163000.0,,-1115163000.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Số cuối năm,Số cuối năm,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,15.910.919.623.029,47.524.433.302,43.776.454.168.563,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,15910919623029.0,47524433302.0,43776454168563.0
