row_label_raw,row_label_full,Ông Lại Xuân Thanh,Chủ tịch,numeric__Chủ tịch
Ông Vũ Thế Phiệt,Ông Vũ Thế Phiệt,Ông Vũ Thế Phiệt,Thành viên,
Ông Đào Việt Dũng,Ông Đào Việt Dũng,Ông Đào Việt Dũng,Thành viên,
Bà Lê Thị Diệu Thúy,Bà Lê Thị Diệu Thúy,Bà Lê Thị Diệu Thúy,Thành viên,
Ông Nguyễn Tiến Việt,Ông Nguyễn Tiến Việt,Ông Nguyễn Tiến Việt,Thành viên,
Ông Lê Văn Khiên,Ông Lê Văn Khiên,Ông Lê Văn Khiên,Thành viên,
Bà Nguyễn Thị Hồng Phượng,Bà Nguyễn Thị Hồng Phượng,Bà Nguyễn Thị Hồng Phượng,Thành viên,
