row_label_raw,row_label_full,CHÌ TIÊU,Mã số,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,,40.301.028.528.254,37.567.953.864.201,100.0,,40301028528254.0,37567953864201.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,2.496.515.921.711,572.833.249.811,110.0,4.0,2496515921711.0,572833249811.0
1. Tiền,1. Tiền,1. Tiền,111,,894.515.921.711,571.833.249.811,111.0,,894515921711.0,571833249811.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,1.602.000.000.000,1.000.000.000,112.0,,1602000000000.0,1000000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,30.498.100.000.000,32.717.000.000.000,120.0,,30498100000000.0,32717000000000.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,5,30.498.100.000.000,32.717.000.000.000,123.0,5.0,30498100000000.0,32717000000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,6.473.454.253.145,3.660.055.407.281,130.0,,6473454253145.0,3660055407281.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,6.288.458.335.002,2.729.716.323.820,131.0,6.0,6288458335002.0,2729716323820.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,7,407.195.975.795,405.033.903.294,132.0,7.0,407195975795.0,405033903294.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,8,1.023.024.859.536,1.020.786.874.785,136.0,8.0,1023024859536.0,1020786874785.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,9,(1.245.224.917.188),(495.481.694.618),137.0,9.0,-1245224917188.0,-495481694618.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,10,451.188.377.629,289.723.600.756,140.0,10.0,451188377629.0,289723600756.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,451.188.377.629,289.723.600.756,141.0,,451188377629.0,289723600756.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,381.769.975.769,328.341.606.353,150.0,,381769975769.0,328341606353.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,11,22.569.830.065,13.576.772.812,151.0,11.0,22569830065.0,13576772812.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,341.390.596.938,91.570.869.233,152.0,,341390596938.0,91570869233.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,17,17.809.548.766,223.193.964.308,153.0,17.0,17809548766.0,223193964308.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,19.800.521.132.450,17.411.530.059.912,200.0,,19800521132450.0,17411530059912.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,265.501.804.717,271.101.804.917,210.0,,265501804717.0,271101804917.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,6,5.600.000.200,5.600.000.200,211.0,6.0,5600000200.0,5600000200.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,8,265.501.804.717,265.501.804.717,216.0,8.0,265501804717.0,265501804717.0
3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,219,9,(5.600.000.200),-,219.0,9.0,-5600000200.0,
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,11.743.852.711.281,12.509.813.118.851,220.0,,11743852711281.0,12509813118851.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,12,11.743.098.917.662,12.508.492.677.824,221.0,12.0,11743098917662.0,12508492677824.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,45.056.915.278.053,43.537.464.563.257,222.0,,45056915278053.0,43537464563257.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,223,,(33.313.816.360.391),(31.028.971.885.433),223.0,,-33313816360391.0,-31028971885433.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,13,753.793.619,1.320.441.027,227.0,13.0,753793619.0,1320441027.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,22.367.636.282,22.219.536.282,228.0,,22367636282.0,22219536282.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(21.613.842.663),(20.899.095.255),229.0,,-21613842663.0,-20899095255.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,4.681.667.319.437,1.685.517.889.556,240.0,,4681667319437.0,1685517889556.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,14,4.681.667.319.437,1.685.517.889.556,242.0,14.0,4681667319437.0,1685517889556.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,,2.796.013.204.185,2.707.393.172.017,250.0,,2796013204185.0,2707393172017.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,15.1,2.625.250.387.949,2.534.292.623.978,252.0,151.0,2625250387949.0,2534292623978.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,15.2,234.800.000.000,234.800.000.000,253.0,152.0,234800000000.0,234800000000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,15.2,(64.037.183.764),(61.699.451.961),254.0,152.0,-64037183764.0,-61699451961.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,313.486.092.830,237.704.074.571,260.0,,313486092830.0,237704074571.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,11,146.197.646.380,213.270.405.057,261.0,11.0,146197646380.0,213270405057.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,29.3,167.288.446.450,24.433.669.514,262.0,293.0,167288446450.0,24433669514.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,60.101.549.660.704,54.979.483.924.113,270.0,,60101549660704.0,54979483924113.0
