row_label_raw,row_label_full,col_0,Dịch vụVND,Bản hàngVND,Tổng cộngVND,numeric__Dịch vụVND,numeric__Bản hàngVND,numeric__Tổng cộngVND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,
Doanh thu từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần > Doanh thu từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu từ bán hàng và cung cấp dịch vụ ra bên ngoài,13.110.406.482.244,696.528.534.786,13.806.935.017.030,13110406482244.0,696528534786.0,13806935017030.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,,,
Giá vốn hàng bán,Chi phí bộ phận > Giá vốn hàng bán,Giá vốn hàng bán,6.946.674.204.735,361.693.330.508,7.308.367.535.243,6946674204735.0,361693330508.0,7308367535243.0
Chi phí bán hàng,Chi phí bộ phận > Chi phí bán hàng,Chi phí bán hàng,-,220.063.489.580,220.063.489.580,,220063489580.0,220063489580.0
Kết quả hoạt động kinh doanh theo bộ phận,Chi phí bộ phận > Kết quả hoạt động kinh doanh theo bộ phận,Kết quả hoạt động kinh doanh theo bộ phận,6.163.732.277.509,114.771.714.698,6.278.503.992.207,6163732277509.0,114771714698.0,6278503992207.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,
Chi phí quản lý doanh nghiệp,Các chi phí không phân bổ theo bộ phận > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,1.704.785.102.284,,,1704785102284.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,4.113.978.002.295,,,4113978002295.0
Chi phí tài chính,Các chi phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,93.959.675.547,,,93959675547.0
Thu nhập khác,Các chi phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,17.474.681.085,,,17474681085.0
Chi phí khác,Các chi phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,1.048.060.361,,,1048060361.0
"Lãi trong công ty liên doanh, liên kết","Các chi phí không phân bổ theo bộ phận > Lãi trong công ty liên doanh, liên kết","Lãi trong công ty liên doanh, liên kết",,,178.867.922.871,,,178867922871.0
Chi phí thuế TNDN hiện hành,Các chi phí không phân bổ theo bộ phận > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,1.842.007.882.476,,,1842007882476.0
Thu nhập thuế TNDN hoãn lại,Các chi phí không phân bổ theo bộ phận > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,(142.984.439.400),,,-142984439400.0
Lợi ích cổ đông không kiểm soát,Các chi phí không phân bổ theo bộ phận > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,5.538.999.343,,,5538999343.0
Lợi nhuận sau thuế công ty mẹ,Các chi phí không phân bổ theo bộ phận > Lợi nhuận sau thuế công ty mẹ,Lợi nhuận sau thuế công ty mẹ,,,7.084.469.317.847,,,7084469317847.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Lợi nhuận của ACV,Trong đó: > Lợi nhuận của ACV,Lợi nhuận của ACV,,,6.192.777.307.875,,,6192777307875.0
Lợi nhuận từ hoạt động khai thác tài sản KCHTHK,Trong đó: > Lợi nhuận từ hoạt động khai thác tài sản KCHTHK,Lợi nhuận từ hoạt động khai thác tài sản KCHTHK,,,891.692.009.972,,,891692009972.0
được Nhà nước giao quản lý,được Nhà nước giao quản lý,được Nhà nước giao quản lý,,,,,,
Tài sản không phân bổ theo bộ phân,được Nhà nước giao quản lý > Tài sản không phân bổ theo bộ phân,Tài sản không phân bổ theo bộ phân,,,60.101.549.660.704,,,60101549660704.0
Nợ phải trả không phân bổ theo bộ phân,được Nhà nước giao quản lý > Nợ phải trả không phân bổ theo bộ phân,Nợ phải trả không phân bổ theo bộ phân,,,16.325.095.492.141,,,16325095492141.0
