row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Số phát sinh trong năm,Số phát sinh trong năm_1,Số phát sinh trong năm_2,Số cuối năm,Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số phát sinh trong năm,numeric__Số phát sinh trong năm_1,numeric__Số phát sinh trong năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1
,,,Phải nộp,Phải thu,Phải nộp,Đã nộp,Tăng/giảm do hợp nhất,Phải nộp,Phải thu,,,,,,,
Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,128.063.237.833,642.680.532,269.861.277.359,(255.646.791.540),(6.741.311.077),135.484.604.212,800.682.383,128063237833.0,642680532.0,269861277359.0,-255646791540.0,-6741311077.0,135484604212.0,800682383.0
Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,-,371.980.494,(371.980.494),-,-,-,,,371980494.0,-371980494.0,,,
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,-,60.163.564,(60.163.564),-,-,-,,,60163564.0,-60163564.0,,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,55.407.841.657,5.973.440.489,123.086.499.760,(109.589.395.571),(5.918.455.925),58.674.751.967,1.661.702.535,55407841657.0,5973440489.0,123086499760.0,-109589395571.0,-5918455925.0,58674751967.0,1661702535.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,8.546.116.320,56.719.366,12.480.918.056,(10.188.276.376),(184.011.838),10.730.447.656,134.877.860,8546116320.0,56719366.0,12480918056.0,-10188276376.0,-184011838.0,10730447656.0,134877860.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,24.375.848.530,-,178.787.386.996,(179.222.245.669),(2.821.031.873),21.119.957.984,-,24375848530.0,,178787386996.0,-179222245669.0,-2821031873.0,21119957984.0,
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,30.976.903,-,100.470.506,(100.470.506),-,30.976.903,-,30976903.0,,100470506.0,-100470506.0,,30976903.0,
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",1.818.249.858,-,14.583.286.171,(14.761.364.942),(357.875.937),1.282.295.150,-,1818249858.0,,14583286171.0,-14761364942.0,-357875937.0,1282295150.0,
Phí cấp quyền khai thác tài nguyên nước,Phí cấp quyền khai thác tài nguyên nước,Phí cấp quyền khai thác tài nguyên nước,3.508.687.157,-,18.176.202.880,(21.676.596.380),-,8.293.657,,3508687157.0,,18176202880.0,-21676596380.0,,8293657.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,3.207.657.383,-,5.650.091.000,(7.097.121.625),(1.523.759.441),236.867.317,-,3207657383.0,,5650091000.0,-7097121625.0,-1523759441.0,236867317.0,
Phí môi trường rừng,Phí môi trường rừng,Phí môi trường rừng,2.679.323.940,-,16.309.503.728,(14.130.853.352),-,4.857.974.316,-,2679323940.0,,16309503728.0,-14130853352.0,,4857974316.0,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",21.424.156.931,13.853.691,10.546.010.813,(14.033.065.495),(3.119.578.828),16.947.847.435,-,21424156931.0,13853691.0,10546010813.0,-14033065495.0,-3119578828.0,16947847435.0,
Cộng,Cộng,Cộng,249.062.096.512,6.686.694.078,650.013.791.327,(626.878.325.514),(20.666.024.919),249.374.016.597,2.597.262.778,249062096512.0,6686694078.0,650013791327.0,-626878325514.0,-20666024919.0,249374016597.0,2597262778.0
