row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,400,,7.365.016.906.109,7.170.572.191.032,,400.0,,7365016906109.0,7170572191032.0
I.,I.,I.,Vốn chủ sở hữu,410,V.22,7.364.982.310.512,7.170.537.595.435,,410.0,,7364982310512.0,7170537595435.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,4.495.371.120.000,4.495.371.120.000,,411.0,,4495371120000.0,4495371120000.0
-,-,-,Cổ phiếu phổ thông có quyền biểu quyết,411a,,4.495.371.120.000,4.495.371.120.000,,,,4495371120000.0,4495371120000.0
-,-,-,Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,- > 2.,2.,Thặng dư vốn cổ phần,412,,114.615.683.251,121.017.852.438,,412.0,,114615683251.0,121017852438.0
3.,- > 3.,3.,Quyền chọn chuyển đổi trái phiếu,413,,-,-,,413.0,,,
4.,- > 4.,4.,Vốn khác của chủ sở hữu,414,,16.333.971.248,37.988.691.817,,414.0,,16333971248.0,37988691817.0
5.,- > 5.,5.,Cổ phiếu quỹ,415,,-,-,,415.0,,,
6.,- > 6.,6.,Chênh lệch đánh giá lại tài sản,416,,(1.636.135.118.812),(1.608.267.387.373),,416.0,,-1636135118812.0,-1608267387373.0
7.,- > 7.,7.,Chênh lệch tỷ giá hối đoái,417,,(83.521.559.629),190.015.385.366,,417.0,,-83521559629.0,190015385366.0
8.,- > 8.,8.,Quỹ đầu tư phát triển,418,,730.815.115.319,762.228.540.816,,418.0,,730815115319.0,762228540816.0
9.,- > 9.,9.,Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,-,-,,419.0,,,
10.,- > 10.,10.,Quỹ khác thuộc vốn chủ sở hữu,420,,6.798.115.744,6.798.115.744,,420.0,,6798115744.0,6798115744.0
11.,- > 11.,11.,Lợi nhuận sau thuế chưa phân phối,421,,1.291.015.154.457,636.912.854.840,,421.0,,1291015154457.0,636912854840.0
-,- > -,-,LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,929.462.186.230,636.912.854.840,,,,929462186230.0,636912854840.0
-,- > -,-,LNST chưa phân phối kỳ này,421b,,361.552.968.227,-,,,,361552968227.0,
12.,- > 12.,12.,Nguồn vốn đầu tư xây dựng cơ bản,422,,9.749.706,9.749.706,,422.0,,9749706.0,9749706.0
13.,- > 13.,13.,Lợi ích cổ đông không kiểm soát,429,,2.429.680.079.228,2.528.462.672.081,,429.0,,2429680079228.0,2528462672081.0
II.,- > II.,II.,Nguồn kinh phí và quỹ khác,430,,34.595.597,34.595.597,,430.0,,34595597.0,34595597.0
1.,- > 1.,1.,Nguồn kinh phí,431,,34.595.597,34.595.597,,431.0,,34595597.0,34595597.0
2.,- > 2.,2.,Nguồn kinh phí đã hình thành tài sản cổ định,432,,-,-,,432.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,440,,24.437.110.047.617,26.053.902.900.934,,440.0,,24437110047617.0,26053902900934.0
