row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm,Giá trị ghi số > Số đầu năm (phân loại lại),numeric__Giá trị ghi số > Số cuối năm,numeric__Giá trị ghi số > Số đầu năm (phân loại lại)
,,,VND,VND,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,274.769.924.230,690.630.196.183,274769924230.0,690630196183.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.118.717.806.593,938.115.922.949,1118717806593.0,938115922949.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.433.237.767.300,1.458.237.767.300,1433237767300.0,1458237767300.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,2.826.725.498.123,3.086.983.886.432,2826725498123.0,3086983886432.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,1.220.159.775.825,1.191.945.146.705,1220159775825.0,1191945146705.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.023.140.813.451,841.916.295.209,1023140813451.0,841916295209.0
Chỉ phí phải trả,Công nợ tài chính > Chỉ phí phải trả,Chỉ phí phải trả,129.770.539.293,132.428.100.842,129770539293.0,132428100842.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,2.373.071.128.569,2.166.289.542.756,2373071128569.0,2166289542756.0
